feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod>appos>nummod> ...,0.163,0.7,0.412,0.31,3,Passerine__order,location_comment
compound<case> ...,0.162,0.702,-0.016,0.971,3,Passerine__order,location_comment
nmod<obl<aux:pass> be,-0.158,0.708,-0.126,0.766,4,Passerine__order,location_comment
compound<obl< ...,-0.15,0.723,-0.082,0.846,4,Passerine__order,location_comment
conj<nmod>case> ...,-0.149,0.725,-0.056,0.895,3,Passerine__order,location_comment
compound<nmod>case> ...,0.148,0.726,0.247,0.555,2,Passerine__order,location_comment
parataxis<nmod>case> ...,-0.143,0.735,-0.082,0.846,3,Passerine__order,location_comment
cc> ...,0.143,0.736,0.082,0.846,1,Passerine__order,location_comment
conj<amod> deciduous,0.137,0.745,0.0,1.0,2,Passerine__order,location_comment
obl<obj>amod> ...,0.137,0.747,0.343,0.406,3,Passerine__order,location_comment
nmod<obl<obl> ...,0.135,0.749,0.156,0.712,3,Passerine__order,location_comment
compound<case> of,0.132,0.756,0.261,0.532,4,Passerine__order,location_comment
conj>det> the,0.128,0.763,-0.156,0.712,3,Passerine__order,location_comment
nmod>appos> ft,0.123,0.772,0.082,0.846,2,Passerine__order,location_comment
compound<conj<conj> ...,0.119,0.779,0.218,0.604,13,Passerine__order,location_comment
nmod<nsubj< ...,0.102,0.81,0.171,0.685,3,Passerine__order,location_comment
conj<nmod>conj> ...,-0.098,0.817,-0.247,0.555,1,Passerine__order,location_comment
obl<advcl<nsubj> ...,0.097,0.819,0.169,0.689,3,Passerine__order,location_comment
conj<amod> open,-0.096,0.821,-0.247,0.555,2,Passerine__order,location_comment
amod> coniferous,-0.089,0.834,-0.082,0.846,2,Passerine__order,location_comment
obl<cc> ...,0.083,0.845,0.082,0.846,1,Passerine__order,location_comment
nmod>appos> ...,0.082,0.847,0.082,0.846,1,Passerine__order,location_comment
conj<case> with,0.079,0.853,0.126,0.766,2,Passerine__order,location_comment
conj<case> in,-0.073,0.863,-0.252,0.547,2,Passerine__order,location_comment
obl<obl>det> ...,0.071,0.867,0.126,0.766,2,Passerine__order,location_comment
conj<conj>cc> ...,0.07,0.869,-0.082,0.846,1,Passerine__order,location_comment
compound<conj< ...,-0.069,0.871,-0.165,0.696,9,Passerine__order,location_comment
compound<case> in,-0.057,0.893,-0.047,0.912,3,Passerine__order,location_comment
conj>nmod> ...,-0.055,0.897,-0.187,0.657,3,Passerine__order,location_comment
obl<advmod> ...,-0.044,0.917,-0.217,0.606,7,Passerine__order,location_comment
amod> ...,-0.043,0.919,-0.025,0.953,12,Passerine__order,location_comment
obl<nsubj> ...,0.039,0.926,0.027,0.948,9,Passerine__order,location_comment
compound<conj<obl< ...,0.039,0.928,-0.047,0.912,3,Passerine__order,location_comment
compound<nmod:poss> its,-0.026,0.951,0.082,0.846,2,Passerine__order,location_comment
compound<conj<nmod< ...,-0.022,0.958,-0.062,0.883,3,Passerine__order,location_comment
obl<obl>amod> ...,-0.022,0.959,-0.069,0.872,4,Passerine__order,location_comment
nmod<conj>cc> ...,0.022,0.959,-0.082,0.846,1,Passerine__order,location_comment
conj> garden,-0.021,0.961,0.082,0.846,2,Passerine__order,location_comment
compound<conj>cc> ...,0.021,0.961,0.082,0.846,1,Passerine__order,location_comment
conj<amod> ...,-0.018,0.966,-0.231,0.581,6,Passerine__order,location_comment
compound<conj> ...,-0.018,0.966,0.0,1.0,4,Passerine__order,location_comment
obl<nsubj> that,0.01,0.981,0.126,0.766,2,Passerine__order,location_comment
nmod<conj>cc> and,0.007,0.986,0.082,0.846,2,Passerine__order,location_comment
compound<amod> many,-0.006,0.989,0.0,1.0,2,Passerine__order,location_comment
