feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod<nmod<nsubj< ...,0.745,0.034,0.577,0.134,3,Monocotyledon__class,free_topic
conj< twig,0.745,0.034,0.577,0.134,4,Monocotyledon__class,free_topic
nmod> America,0.744,0.034,0.655,0.078,3,Monocotyledon__class,free_topic
conj<nmod<amod> ...,0.742,0.035,0.546,0.162,11,Monocotyledon__class,free_topic
compound<appos<list> lemur,0.742,0.035,0.577,0.134,3,Monocotyledon__class,free_topic
nmod<det> the,0.742,0.035,0.764,0.027,43,Monocotyledon__class,free_topic
nsubj<mark> while,0.74,0.036,0.756,0.03,2,Monocotyledon__class,free_topic
obj<conj<obj> chimpanzee,0.738,0.037,0.577,0.134,2,Monocotyledon__class,free_topic
cc> as,0.738,0.037,0.63,0.094,2,Monocotyledon__class,free_topic
case> as,0.738,0.037,0.491,0.217,6,Monocotyledon__class,free_topic
compound<obj<advmod> also,0.737,0.037,0.577,0.134,2,Monocotyledon__class,free_topic
obl<acl:relcl>obj> be,0.734,0.038,0.577,0.134,3,Monocotyledon__class,free_topic
conj<det> ...,0.734,0.038,0.764,0.027,3,Monocotyledon__class,free_topic
nmod<det> a,0.733,0.038,0.709,0.049,26,Monocotyledon__class,free_topic
compound<nmod>compound> ...,-0.733,0.038,-0.577,0.134,1,Monocotyledon__class,free_topic
nsubj< produce,0.733,0.039,0.63,0.094,2,Monocotyledon__class,free_topic
conj< leave,0.732,0.039,0.546,0.162,12,Monocotyledon__class,free_topic
conj<nsubj:pass>conj> ...,0.731,0.039,0.577,0.134,3,Monocotyledon__class,free_topic
nsubj< have,0.73,0.04,0.63,0.094,4,Monocotyledon__class,free_topic
appos< ...,0.73,0.04,0.6,0.116,15,Monocotyledon__class,free_topic
obj<mark> ...,0.729,0.04,0.37,0.366,7,Monocotyledon__class,free_topic
conj<nmod< ...,0.729,0.04,0.846,0.008,32,Monocotyledon__class,free_topic
conj<conj> fruit,0.727,0.041,0.218,0.604,10,Monocotyledon__class,free_topic
conj<compound> sea,0.726,0.041,0.756,0.03,2,Monocotyledon__class,free_topic
conj>det> the,0.724,0.042,0.63,0.094,2,Monocotyledon__class,free_topic
nsubj<cop> be,0.724,0.042,0.764,0.027,28,Monocotyledon__class,free_topic
appos< Deschampsia,0.724,0.042,0.756,0.03,2,Monocotyledon__class,free_topic
