feat	count	weight	rel_role	group_name
nmod<conj>cc> ...	1.0	0.26	adaptation_comment	Chordate__phylum
nmod<obj<mark> ...	1.0	0.339	adaptation_comment	Chordate__phylum
nmod<obj<xcomp< ...	1.0	0.354	adaptation_comment	Chordate__phylum
obl<advcl<cop> ...	1.0	0.668	adaptation_comment	Chordate__phylum
obl<advcl<advmod> ...	1.0	0.218	adaptation_comment	Chordate__phylum
nmod<nmod:poss> ...	1.0	0.283	adaptation_comment	Chordate__phylum
acl:relcl<obl<conj> ...	1.0	0.372	adaptation_comment	Chordate__phylum
obj<nmod> ...	1.0	0.414	adaptation_comment	Chordate__phylum
obj<nmod>case> ...	1.0	0.557	adaptation_comment	Chordate__phylum
amod>advmod> ...	1.0	0.363	adaptation_comment	Chordate__phylum
nsubj<obl> whale	1.0	0.371	adaptation_comment	Chordate__phylum
obl<conj>cc> but	1.0	0.275	adaptation_comment	Chordate__phylum
obl<conj>aux:pass> be	1.0	0.384	adaptation_comment	Chordate__phylum
nsubj<conj>cc> or	1.0	0.503	adaptation_comment	Chordate__phylum
appos<compound> ...	1.0	0.376	adaptation_comment	Chordate__phylum
nmod> mammal	1.0	0.443	adaptation_comment	Chordate__phylum
nmod>det> a	1.0	0.312	adaptation_comment	Chordate__phylum
obl<cop> be	1.0	0.393	adaptation_comment	Chordate__phylum
nsubj<conj>advcl> do	1.0	0.149	adaptation_comment	Chordate__phylum
nsubj<conj> document	1.0	0.293	adaptation_comment	Chordate__phylum
nsubj<conj>aux:pass> be	1.0	0.706	adaptation_comment	Chordate__phylum
appos>advmod> ...	1.0	0.246	adaptation_comment	Chordate__phylum
nsubj<conj>aux> have	1.0	0.648	adaptation_comment	Chordate__phylum
obl<advcl<obj> ...	1.0	0.26	adaptation_comment	Chordate__phylum
obl<advcl<advcl> ...	1.0	0.276	adaptation_comment	Chordate__phylum
nmod<mark> ...	1.0	0.375	adaptation_comment	Chordate__phylum
nmod<nsubj> ...	1.0	0.415	adaptation_comment	Chordate__phylum
nmod<cop> ...	1.0	0.144	adaptation_comment	Chordate__phylum
nmod<amod>advmod> ...	1.0	0.263	adaptation_comment	Chordate__phylum
nsubj<obl>amod> dead	1.0	0.267	adaptation_comment	Chordate__phylum
nsubj<obl>case> on	1.0	0.645	adaptation_comment	Chordate__phylum
nsubj< feed	1.0	0.681	adaptation_comment	Chordate__phylum
nsubj<aux> will	1.0	0.585	adaptation_comment	Chordate__phylum
nmod<conj>compound> ...	1.0	0.439	adaptation_comment	Chordate__phylum
nmod<conj>amod> ...	1.0	0.486	adaptation_comment	Chordate__phylum
mark> as	1.0	0.313	adaptation_comment	Chordate__phylum
nmod<appos<obj< ...	1.0	0.465	adaptation_comment	Chordate__phylum
nmod<appos<amod> ...	1.0	0.29	adaptation_comment	Chordate__phylum
nmod<appos<nmod> ...	1.0	0.521	adaptation_comment	Chordate__phylum
nmod<nmod>case> ...	1.0	0.352	adaptation_comment	Chordate__phylum
nmod<nmod> ...	1.0	0.411	adaptation_comment	Chordate__phylum
nmod<nmod>compound> ...	1.0	0.169	adaptation_comment	Chordate__phylum
compound<obl<obj> ...	1.0	0.384	adaptation_comment	Chordate__phylum
nmod<nmod<nsubj< ...	1.0	0.415	adaptation_comment	Chordate__phylum
conj<nmod< ...	1.0	0.537	adaptation_comment	Chordate__phylum
conj<case> ...	1.0	0.617	adaptation_comment	Chordate__phylum
conj< ...	1.0	0.486	adaptation_comment	Chordate__phylum
conj>obj>amod> ...	1.0	0.389	adaptation_comment	Chordate__phylum
obj<parataxis<nsubj> ...	1.0	0.322	adaptation_comment	Chordate__phylum
obj<parataxis<cop> ...	1.0	0.449	adaptation_comment	Chordate__phylum
parataxis>obj>det> ...	1.0	0.525	adaptation_comment	Chordate__phylum
parataxis>obj>amod> ...	1.0	0.427	adaptation_comment	Chordate__phylum
parataxis>obj> ...	1.0	0.348	adaptation_comment	Chordate__phylum
appos<conj< ...	1.0	0.35	adaptation_comment	Chordate__phylum
conj>nsubj>det> ...	1.0	0.479	adaptation_comment	Chordate__phylum
conj>nsubj> ...	1.0	0.333	adaptation_comment	Chordate__phylum
conj>obl>case> ...	1.0	0.306	adaptation_comment	Chordate__phylum
nmod<nsubj<obj> ...	1.0	0.139	adaptation_comment	Chordate__phylum
compound<obl< ...	1.0	0.476	adaptation_comment	Chordate__phylum
