feat	count	weight	rel_role	group_name
obl<obl>case> along	2.0	0.652	adaptation_comment	Cetacea__order
obl<obl>compound> ...	2.0	0.404	adaptation_comment	Cetacea__order
obl<acl<case> for	2.0	0.558	adaptation_comment	Cetacea__order
obl<acl<nummod> one	2.0	0.356	adaptation_comment	Cetacea__order
obl<acl< whale	2.0	0.262	adaptation_comment	Cetacea__order
obl<advmod> ...	2.0	0.325	adaptation_comment	Cetacea__order
obl<acl<case> of	2.0	0.488	adaptation_comment	Cetacea__order
obl<acl<nmod:poss> nature	2.0	0.443	adaptation_comment	Cetacea__order
obl<acl<amod> greatest	2.0	0.153	adaptation_comment	Cetacea__order
nsubj<conj>cc> and	2.0	0.574	adaptation_comment	Cetacea__order
nsubj:pass< ...	2.0	0.45	adaptation_comment	Cetacea__order
nsubj:pass<aux:pass> ...	2.0	0.72	adaptation_comment	Cetacea__order
amod>conj> ...	2.0	0.274	adaptation_comment	Cetacea__order
obj<advcl>mark> ...	2.0	0.34	adaptation_comment	Cetacea__order
nmod<det> a	2.0	0.557	adaptation_comment	Cetacea__order
obl<obl> coast	2.0	0.641	adaptation_comment	Cetacea__order
compound<det> the	2.0	0.386	adaptation_comment	Cetacea__order
amod<cop> be	2.0	0.46	adaptation_comment	Cetacea__order
obj<conj<obl> ...	2.0	0.261	adaptation_comment	Cetacea__order
amod>conj>cc> ...	2.0	0.591	adaptation_comment	Cetacea__order
compound<det> a	2.0	0.507	adaptation_comment	Cetacea__order
obl<obl>amod> east	2.0	0.893	adaptation_comment	Cetacea__order
nsubj<det> the	2.0	0.462	adaptation_comment	Cetacea__order
conj<case> of	2.0	0.504	adaptation_comment	Cetacea__order
amod<case> to	2.0	0.662	adaptation_comment	Cetacea__order
compound<nmod>amod> ...	2.0	0.609	adaptation_comment	Cetacea__order
nmod<obl<advmod> ...	2.0	0.505	adaptation_comment	Cetacea__order
nsubj:pass<advmod> ...	2.0	0.49	adaptation_comment	Cetacea__order
nmod<nmod>det> ...	2.0	0.482	adaptation_comment	Cetacea__order
amod<obj<conj> ...	2.0	0.399	adaptation_comment	Cetacea__order
obl<advcl<mark> ...	2.0	0.361	adaptation_comment	Cetacea__order
appos>compound> ...	2.0	0.685	adaptation_comment	Cetacea__order
obj<nsubj> species	2.0	0.514	adaptation_comment	Cetacea__order
nsubj<conj>obj> ...	2.0	0.283	adaptation_comment	Cetacea__order
nsubj<obl>case> ...	2.0	0.946	adaptation_comment	Cetacea__order
amod<conj<obj< ...	2.0	0.344	adaptation_comment	Cetacea__order
nmod<case> as	2.0	0.954	adaptation_comment	Cetacea__order
case> to	2.0	0.827	adaptation_comment	Cetacea__order
nsubj<obl>advmod> ...	2.0	0.401	adaptation_comment	Cetacea__order
amod<conj>cc> and	2.0	0.753	adaptation_comment	Cetacea__order
nmod<obj<conj< ...	2.0	0.405	adaptation_comment	Cetacea__order
amod<det> the	2.0	0.833	adaptation_comment	Cetacea__order
amod<advcl>advmod> ...	2.0	0.316	adaptation_comment	Cetacea__order
nsubj>amod> ...	2.0	0.263	adaptation_comment	Cetacea__order
conj<nmod<case> ...	2.0	0.503	adaptation_comment	Cetacea__order
compound>amod> ...	2.0	0.479	adaptation_comment	Cetacea__order
case> for	2.0	0.812	adaptation_comment	Cetacea__order
amod<conj<case> into	2.0	0.357	adaptation_comment	Cetacea__order
amod<nmod<nsubj< ...	2.0	0.474	adaptation_comment	Cetacea__order
nsubj<obl>nummod> ...	2.0	0.489	adaptation_comment	Cetacea__order
nsubj<obl> ...	2.0	0.475	adaptation_comment	Cetacea__order
nsubj<obl> year	2.0	0.573	adaptation_comment	Cetacea__order
nmod<nsubj<ccomp< ...	2.0	0.503	adaptation_comment	Cetacea__order
amod>conj>cc> and	2.0	0.591	adaptation_comment	Cetacea__order
nmod<obj<aux> be	2.0	0.457	adaptation_comment	Cetacea__order
nmod>nmod>det> ...	2.0	0.304	adaptation_comment	Cetacea__order
compound<nmod:poss> they	2.0	0.298	adaptation_comment	Cetacea__order
nmod<conj<conj> ...	2.0	0.305	adaptation_comment	Cetacea__order
nmod<conj< ...	2.0	0.369	adaptation_comment	Cetacea__order
amod< species	2.0	0.484	adaptation_comment	Cetacea__order
advcl>conj> ...	2.0	0.385	adaptation_comment	Cetacea__order
amod<amod> complex	2.0	0.319	adaptation_comment	Cetacea__order
amod<obj<obl> ...	2.0	0.487	adaptation_comment	Cetacea__order
compound>compound> ...	2.0	0.523	adaptation_comment	Cetacea__order
obl<acl<nmod:poss> ...	2.0	0.443	adaptation_comment	Cetacea__order
obl<acl<amod> ...	2.0	0.307	adaptation_comment	Cetacea__order
obl<obl>nmod:poss> ...	2.0	0.386	adaptation_comment	Cetacea__order
compound>nummod> ...	2.0	0.383	adaptation_comment	Cetacea__order
amod<nsubj<obj> ...	2.0	0.405	adaptation_comment	Cetacea__order
amod<obj<nsubj> ...	2.0	0.24	adaptation_comment	Cetacea__order
obl<acl<nummod> ...	2.0	0.398	adaptation_comment	Cetacea__order
nsubj<conj>advmod> ...	2.0	0.53	adaptation_comment	Cetacea__order
nsubj<conj>nsubj> ...	2.0	0.171	adaptation_comment	Cetacea__order
compound<cc> ...	2.0	0.555	adaptation_comment	Cetacea__order
nsubj<det> ...	2.0	0.472	adaptation_comment	Cetacea__order
amod<case> of	2.0	0.628	adaptation_comment	Cetacea__order
compound<acl:relcl>aux> ...	2.0	0.47	adaptation_comment	Cetacea__order
compound< range	2.0	0.732	adaptation_comment	Cetacea__order
amod< strategy	2.0	0.421	adaptation_comment	Cetacea__order
obl<acl<obl< ...	2.0	0.624	adaptation_comment	Cetacea__order
acl>obl>case> ...	2.0	0.509	adaptation_comment	Cetacea__order
