feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
compound<case> out,0.688,0.059,0.63,0.094,4,Plant__kingdom,free_topic
compound<conj<advmod> ...,-0.687,0.06,-0.784,0.021,4,Plant__kingdom,free_topic
nmod<conj<conj> horsetail,0.687,0.06,0.577,0.134,4,Plant__kingdom,free_topic
nsubj<obl>det> ...,0.687,0.06,0.756,0.03,2,Plant__kingdom,free_topic
nsubj<xcomp>obj> ...,0.686,0.06,0.218,0.604,4,Plant__kingdom,free_topic
appos<conj> hawk,0.686,0.06,0.577,0.134,2,Plant__kingdom,free_topic
compound<obl<nsubj> species,0.684,0.061,0.63,0.094,2,Plant__kingdom,free_topic
appos>det> the,0.68,0.064,0.385,0.346,4,Plant__kingdom,free_topic
compound<obl< show,-0.679,0.064,-0.577,0.134,2,Plant__kingdom,free_topic
nmod<obl<obj> egg,0.679,0.064,0.756,0.03,2,Plant__kingdom,free_topic
nmod<conj<conj> cycad,0.679,0.064,0.577,0.134,4,Plant__kingdom,free_topic
acl> eat,0.674,0.067,0.63,0.094,2,Plant__kingdom,free_topic
obj<advmod> thus,0.674,0.067,0.577,0.134,3,Plant__kingdom,free_topic
conj<nmod<nmod> ...,0.673,0.068,0.591,0.123,4,Plant__kingdom,free_topic
obj<obl>det> the,0.672,0.068,0.655,0.078,7,Plant__kingdom,free_topic
nmod<obl<advcl< ...,0.672,0.068,0.733,0.039,7,Plant__kingdom,free_topic
conj> fern,0.672,0.068,0.546,0.162,3,Plant__kingdom,free_topic
obl<obl>det> a,-0.67,0.069,-0.218,0.604,3,Plant__kingdom,free_topic
obl<obl>case> for,0.67,0.069,0.577,0.134,2,Plant__kingdom,free_topic
nsubj:pass< call,0.669,0.07,0.577,0.134,2,Plant__kingdom,free_topic
obl:npmod< eat,-0.668,0.07,-0.655,0.078,3,Plant__kingdom,free_topic
obl<mark> as,0.667,0.071,0.577,0.134,2,Plant__kingdom,free_topic
conj< nectar,0.667,0.071,0.577,0.134,2,Plant__kingdom,free_topic
compound<conj<det> ...,-0.666,0.071,-0.577,0.134,1,Plant__kingdom,free_topic
obl<obl>case> to,0.666,0.071,0.577,0.134,2,Plant__kingdom,free_topic
nsubj:pass<conj>amod> ...,0.665,0.072,0.577,0.134,5,Plant__kingdom,free_topic
conj>amod> woody,0.665,0.072,0.577,0.134,2,Plant__kingdom,free_topic
compound<conj<obj< ...,-0.664,0.072,-0.846,0.008,7,Plant__kingdom,free_topic
compound<nmod>conj> ...,0.664,0.072,0.436,0.28,22,Plant__kingdom,free_topic
nsubj<advcl< ...,0.664,0.073,0.436,0.28,11,Plant__kingdom,free_topic
det> this,0.664,0.073,0.756,0.03,2,Plant__kingdom,free_topic
compound<conj<conj> ...,0.664,0.073,0.436,0.28,53,Plant__kingdom,free_topic
nmod>amod> ...,0.66,0.075,0.846,0.008,25,Plant__kingdom,free_topic
compound<conj<conj> crustacean,0.659,0.075,0.577,0.134,2,Plant__kingdom,free_topic
compound<nmod>conj> seed,0.658,0.076,0.577,0.134,2,Plant__kingdom,free_topic
det> ...,0.658,0.076,0.655,0.078,5,Plant__kingdom,free_topic
obj< ...,0.657,0.077,0.638,0.089,39,Plant__kingdom,free_topic
nmod>case> by,0.654,0.078,0.733,0.039,6,Plant__kingdom,free_topic
obl<mark> to,0.652,0.08,0.764,0.027,4,Plant__kingdom,free_topic
obj<conj<obj> ...,0.652,0.08,0.577,0.134,4,Plant__kingdom,free_topic
compound> desalination,0.65,0.081,0.655,0.078,3,Plant__kingdom,free_topic
det> a,0.647,0.083,0.837,0.01,43,Plant__kingdom,free_topic
conj<advmod> primarily,0.646,0.083,0.504,0.203,2,Plant__kingdom,free_topic
obj<acl< family,0.645,0.084,0.729,0.04,4,Plant__kingdom,free_topic
nmod<nsubj<obl> ...,-0.645,0.084,-0.436,0.28,7,Plant__kingdom,free_topic
conj< alga,0.644,0.085,0.546,0.162,3,Plant__kingdom,free_topic
case> with,0.643,0.086,0.733,0.039,10,Plant__kingdom,free_topic
compound<obl<advmod> mainly,0.642,0.086,0.63,0.094,2,Plant__kingdom,free_topic
amod>obl>case> ...,0.642,0.086,0.756,0.03,2,Plant__kingdom,free_topic
nsubj<obl>case> in,0.642,0.086,0.888,0.003,13,Plant__kingdom,free_topic
nmod>nmod> moth,0.642,0.086,0.63,0.094,2,Plant__kingdom,free_topic
compound<conj<conj> larva,0.642,0.086,0.577,0.134,2,Plant__kingdom,free_topic
compound<nmod<amod> large,-0.642,0.086,-0.577,0.134,2,Plant__kingdom,free_topic
nsubj<obl>case> from,0.638,0.089,0.733,0.039,3,Plant__kingdom,free_topic
obj< allow,0.638,0.089,0.577,0.134,2,Plant__kingdom,free_topic
compound<nsubj<obl> ...,-0.637,0.089,-0.218,0.604,3,Plant__kingdom,free_topic
compound< material,0.636,0.09,0.7,0.053,47,Plant__kingdom,free_topic
obl<mark> ...,0.636,0.09,0.655,0.078,5,Plant__kingdom,free_topic
compound<conj< little,-0.635,0.091,-0.577,0.134,2,Plant__kingdom,free_topic
conj<advmod> ...,0.634,0.092,0.627,0.096,6,Plant__kingdom,free_topic
nmod>flat> ...,0.633,0.092,0.577,0.134,3,Plant__kingdom,free_topic
compound<conj<conj> mollusc,0.633,0.092,0.577,0.134,2,Plant__kingdom,free_topic
compound<obl< feed,-0.633,0.092,-0.109,0.797,8,Plant__kingdom,free_topic
conj>compound> ...,0.633,0.092,0.577,0.134,17,Plant__kingdom,free_topic
nmod<obj<mark> to,-0.631,0.093,-0.577,0.134,4,Plant__kingdom,free_topic
compound<conj> ...,0.631,0.094,0.791,0.019,25,Plant__kingdom,free_topic
nsubj<advcl< eat,0.63,0.094,0.577,0.134,2,Plant__kingdom,free_topic
nmod<obj< support,0.63,0.094,0.436,0.28,3,Plant__kingdom,free_topic
compound<amod> aquatic,0.628,0.095,0.764,0.027,3,Plant__kingdom,free_topic
compound<nmod> species,0.627,0.096,0.63,0.094,2,Plant__kingdom,free_topic
obl<obj> ...,0.625,0.097,0.546,0.162,14,Plant__kingdom,free_topic
compound<advcl< ...,-0.623,0.099,-0.655,0.078,4,Plant__kingdom,free_topic
compound>flat> ...,-0.62,0.101,-0.577,0.134,3,Plant__kingdom,free_topic
det> some,0.619,0.102,0.546,0.162,8,Plant__kingdom,free_topic
nmod<conj<obl< ...,0.619,0.102,0.655,0.078,3,Plant__kingdom,free_topic
conj<case> with,0.616,0.104,0.655,0.078,4,Plant__kingdom,free_topic
nmod<amod> ...,0.615,0.104,0.327,0.429,42,Plant__kingdom,free_topic
compound<conj<det> a,-0.615,0.104,-0.109,0.797,6,Plant__kingdom,free_topic
amod> many,0.614,0.106,0.218,0.604,14,Plant__kingdom,free_topic
nsubj<obj>nmod:poss> they,0.613,0.106,0.674,0.067,5,Plant__kingdom,free_topic
compound<nmod>conj> leave,0.612,0.107,0.655,0.078,3,Plant__kingdom,free_topic
obl<nsubj> they,0.611,0.107,0.436,0.28,6,Plant__kingdom,free_topic
nmod>case> from,0.611,0.107,0.733,0.039,6,Plant__kingdom,free_topic
compound<nmod>amod> ...,0.611,0.107,0.609,0.109,17,Plant__kingdom,free_topic
appos<obl< ...,0.611,0.108,0.546,0.162,5,Plant__kingdom,free_topic
conj<obj< ...,-0.61,0.109,-0.63,0.094,6,Plant__kingdom,free_topic
nmod>case>fixed> ...,0.609,0.109,0.577,0.134,1,Plant__kingdom,free_topic
obl<nsubj> ...,0.605,0.112,0.051,0.904,18,Plant__kingdom,free_topic
obj<acl<obl< mean,-0.604,0.112,-0.577,0.134,2,Plant__kingdom,free_topic
obl<nsubj:pass> ...,0.604,0.113,0.764,0.027,23,Plant__kingdom,free_topic
nmod<obl<nsubj> diet,0.603,0.114,0.577,0.134,2,Plant__kingdom,free_topic
compound<nmod>case> with,0.602,0.114,0.481,0.227,5,Plant__kingdom,free_topic
obl<acl<det> a,0.602,0.114,0.577,0.134,2,Plant__kingdom,free_topic
obj< benefit,0.601,0.115,0.577,0.134,2,Plant__kingdom,free_topic
compound<nmod<nsubj> ...,-0.6,0.116,-0.546,0.162,3,Plant__kingdom,free_topic
compound<acl:relcl>nmod> ...,-0.599,0.117,-0.577,0.134,4,Plant__kingdom,free_topic
obl<advcl>mark> ...,0.599,0.117,0.44,0.275,6,Plant__kingdom,free_topic
nsubj<mark> when,0.599,0.117,0.546,0.162,6,Plant__kingdom,free_topic
compound<nsubj<mark> ...,-0.598,0.117,-0.63,0.094,4,Plant__kingdom,free_topic
amod> ...,0.597,0.118,0.31,0.456,203,Plant__kingdom,free_topic
acl>obl>case> to,0.597,0.118,0.756,0.03,2,Plant__kingdom,free_topic
conj<case> of,0.596,0.119,0.6,0.116,18,Plant__kingdom,free_topic
nsubj<compound:prt> ...,0.596,0.119,0.764,0.027,3,Plant__kingdom,free_topic
nmod<obj<cc> and,-0.595,0.12,-0.546,0.162,8,Plant__kingdom,free_topic
nmod>nmod> ...,0.595,0.12,0.355,0.389,18,Plant__kingdom,free_topic
det> these,0.594,0.12,0.627,0.096,10,Plant__kingdom,free_topic
nmod<nmod>nummod> ...,0.594,0.121,0.577,0.134,3,Plant__kingdom,free_topic
nsubj<obj>nummod> ...,0.594,0.121,0.62,0.101,3,Plant__kingdom,free_topic
nmod<conj<nmod< fossil,0.593,0.121,0.577,0.134,3,Plant__kingdom,free_topic
nmod<obj< ...,0.593,0.121,0.436,0.28,23,Plant__kingdom,free_topic
obl<conj<obl> ...,0.592,0.122,0.577,0.134,3,Plant__kingdom,free_topic
compound<conj> invertebrate,0.592,0.122,0.63,0.094,2,Plant__kingdom,free_topic
nmod<conj>cc> ...,0.591,0.123,0.577,0.134,1,Plant__kingdom,free_topic
nmod<obj<acl< ...,-0.591,0.123,-0.577,0.134,3,Plant__kingdom,free_topic
compound< tissue,0.59,0.123,0.784,0.021,6,Plant__kingdom,free_topic
nmod>conj> oak,0.59,0.124,0.63,0.094,2,Plant__kingdom,free_topic
det> both,0.59,0.124,0.577,0.134,3,Plant__kingdom,free_topic
obj<mark> in,0.589,0.125,0.756,0.03,2,Plant__kingdom,free_topic
compound< ...,0.588,0.125,0.659,0.076,152,Plant__kingdom,free_topic
obl<advcl<obl> ...,-0.588,0.125,-0.546,0.162,3,Plant__kingdom,free_topic
obl<advcl<obj> ...,0.587,0.126,0.764,0.027,5,Plant__kingdom,free_topic
nmod<appos< ...,0.587,0.126,0.592,0.122,6,Plant__kingdom,free_topic
nsubj<mark> although,0.586,0.127,0.577,0.134,2,Plant__kingdom,free_topic
obj<advcl>obl> ...,0.584,0.128,0.577,0.134,6,Plant__kingdom,free_topic
nsubj:pass<conj>cc> and,0.584,0.129,0.733,0.039,4,Plant__kingdom,free_topic
nsubj<obl>conj> ...,0.584,0.129,0.577,0.134,3,Plant__kingdom,free_topic
compound<nmod>appos> US,-0.582,0.13,-0.577,0.134,2,Plant__kingdom,free_topic
obj<xcomp< ...,0.582,0.13,0.756,0.03,4,Plant__kingdom,free_topic
obj< flowering,0.581,0.131,0.678,0.065,11,Plant__kingdom,free_topic
nsubj:pass<obl>det> the,0.581,0.131,0.577,0.134,5,Plant__kingdom,free_topic
nmod<obj<nsubj> ...,-0.58,0.131,-0.655,0.078,12,Plant__kingdom,free_topic
conj< grass,0.58,0.132,0.436,0.28,7,Plant__kingdom,free_topic
compound<case> than,0.58,0.132,0.483,0.225,3,Plant__kingdom,free_topic
obl<obj>amod> ...,0.58,0.132,0.327,0.429,6,Plant__kingdom,free_topic
acl:relcl>obl>amod> ocean,0.579,0.133,0.577,0.134,2,Plant__kingdom,free_topic
nsubj<obj>nmod> ...,0.578,0.133,0.733,0.039,9,Plant__kingdom,free_topic
appos>det> a,0.576,0.135,0.252,0.547,2,Plant__kingdom,free_topic
compound<acl:relcl>obl> which,-0.576,0.135,-0.412,0.31,2,Plant__kingdom,free_topic
nmod:poss>case> 's,0.576,0.135,0.577,0.134,4,Plant__kingdom,free_topic
appos<parataxis> ...,0.575,0.136,0.577,0.134,4,Plant__kingdom,free_topic
compound<conj< plant,-0.575,0.136,-0.504,0.203,2,Plant__kingdom,free_topic
acl>obl>nmod> ...,0.574,0.137,0.289,0.488,4,Plant__kingdom,free_topic
conj>amod> ...,0.572,0.138,0.436,0.28,29,Plant__kingdom,free_topic
appos>amod> ...,0.571,0.139,0.55,0.158,4,Plant__kingdom,free_topic
nmod>case> of,0.571,0.139,0.846,0.008,15,Plant__kingdom,free_topic
nmod<nsubj:pass<advmod> ...,0.57,0.14,0.412,0.31,2,Plant__kingdom,free_topic
compound<nsubj:pass<advmod> ...,-0.569,0.141,-0.577,0.134,5,Plant__kingdom,free_topic
nmod>case> in,0.569,0.141,0.926,0.001,27,Plant__kingdom,free_topic
nmod<conj<conj> fungi,0.568,0.142,0.577,0.134,2,Plant__kingdom,free_topic
nsubj<ccomp<nsubj> ...,-0.568,0.142,-0.456,0.256,7,Plant__kingdom,free_topic
nmod<nmod<obl< ...,0.567,0.143,0.63,0.094,4,Plant__kingdom,free_topic
compound<nmod>conj> stem,0.566,0.144,0.577,0.134,2,Plant__kingdom,free_topic
conj>compound> tree,0.565,0.144,0.327,0.429,3,Plant__kingdom,free_topic
conj<obl<conj> ...,0.564,0.145,0.619,0.102,5,Plant__kingdom,free_topic
nmod> family,0.563,0.146,0.825,0.012,6,Plant__kingdom,free_topic
nmod> larva,0.563,0.146,0.733,0.039,6,Plant__kingdom,free_topic
conj>cc>fixed> well,0.563,0.146,0.577,0.134,3,Plant__kingdom,free_topic
nsubj:pass<conj< ...,0.562,0.147,0.546,0.162,3,Plant__kingdom,free_topic
nsubj:pass< ...,0.562,0.147,0.545,0.162,21,Plant__kingdom,free_topic
obl<obl>nmod> ...,0.559,0.149,0.327,0.429,5,Plant__kingdom,free_topic
compound<conj< animal,-0.557,0.151,-0.327,0.429,5,Plant__kingdom,free_topic
obj<advcl<nsubj:pass> ...,-0.557,0.151,-0.577,0.134,3,Plant__kingdom,free_topic
conj>cc>fixed> as,0.555,0.154,0.577,0.134,3,Plant__kingdom,free_topic
obj< pull,0.554,0.154,0.577,0.134,2,Plant__kingdom,free_topic
amod> aquatic,0.552,0.156,0.406,0.318,14,Plant__kingdom,free_topic
compound< species,0.552,0.156,0.396,0.332,33,Plant__kingdom,free_topic
compound<nmod>case> on,0.551,0.157,0.577,0.134,2,Plant__kingdom,free_topic
nmod>case> ...,0.551,0.157,0.825,0.012,8,Plant__kingdom,free_topic
compound<obl<advmod> further,0.55,0.158,0.577,0.134,2,Plant__kingdom,free_topic
nmod<parataxis> ...,0.55,0.158,0.412,0.31,3,Plant__kingdom,free_topic
nsubj<mark> that,0.549,0.159,0.412,0.31,4,Plant__kingdom,free_topic
obl<nsubj:pass>nmod> ...,0.549,0.159,0.733,0.039,4,Plant__kingdom,free_topic
