feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<case> to,0.593,0.121,0.63,0.094,2,Fungus__kingdom,free_topic
conj<nmod>case> of,0.59,0.124,0.577,0.134,2,Fungus__kingdom,free_topic
obl<cc> and,0.589,0.125,0.546,0.162,3,Fungus__kingdom,free_topic
cc> as,0.579,0.133,0.577,0.134,2,Fungus__kingdom,free_topic
conj<nmod>case> in,0.573,0.138,0.577,0.134,2,Fungus__kingdom,free_topic
nmod<acl>obl> ...,0.567,0.142,0.577,0.134,3,Fungus__kingdom,free_topic
acl> call,0.558,0.15,0.63,0.094,2,Fungus__kingdom,free_topic
obl< ...,0.557,0.151,0.546,0.162,22,Fungus__kingdom,free_topic
obl<obl>det> ...,0.556,0.152,0.577,0.134,1,Fungus__kingdom,free_topic
obl<nsubj:pass>det> ...,0.556,0.153,0.394,0.334,3,Fungus__kingdom,free_topic
conj<nmod< range,0.554,0.154,0.577,0.134,3,Fungus__kingdom,free_topic
conj>obj> ...,-0.553,0.155,-0.62,0.101,3,Fungus__kingdom,free_topic
cc>fixed> well,0.55,0.158,0.577,0.134,2,Fungus__kingdom,free_topic
conj>amod> ...,0.546,0.161,0.729,0.04,8,Fungus__kingdom,free_topic
cc>fixed> as,0.544,0.163,0.577,0.134,2,Fungus__kingdom,free_topic
conj>cc> and,0.544,0.164,0.135,0.75,31,Fungus__kingdom,free_topic
conj<nmod<nmod> ...,0.54,0.167,0.405,0.319,8,Fungus__kingdom,free_topic
acl:relcl>nsubj> that,-0.538,0.169,-0.436,0.28,4,Fungus__kingdom,free_topic
compound<case> ...,0.528,0.178,0.63,0.094,2,Fungus__kingdom,free_topic
appos> ...,0.526,0.18,0.546,0.162,6,Fungus__kingdom,free_topic
acl> find,0.517,0.189,0.504,0.203,2,Fungus__kingdom,free_topic
nmod> ...,0.502,0.205,0.503,0.204,15,Fungus__kingdom,free_topic
conj<nmod>case> ...,0.497,0.21,0.577,0.134,3,Fungus__kingdom,free_topic
obj<obl>det> ...,-0.497,0.21,-0.733,0.039,3,Fungus__kingdom,free_topic
nmod<cc> and,0.496,0.211,0.577,0.134,2,Fungus__kingdom,free_topic
obl<nsubj>det> ...,0.495,0.213,0.412,0.31,3,Fungus__kingdom,free_topic
conj>nmod> ...,0.487,0.221,0.507,0.2,3,Fungus__kingdom,free_topic
appos> Phototropism,0.483,0.225,0.577,0.134,2,Fungus__kingdom,free_topic
nmod<obj< ...,0.477,0.232,0.577,0.134,10,Fungus__kingdom,free_topic
obl<acl<case> ...,0.472,0.238,0.327,0.429,3,Fungus__kingdom,free_topic
nmod<cc> ...,0.47,0.239,0.412,0.31,1,Fungus__kingdom,free_topic
obj<cc> and,-0.465,0.245,-0.577,0.134,2,Fungus__kingdom,free_topic
obj<obl>case> ...,-0.464,0.247,-0.592,0.122,3,Fungus__kingdom,free_topic
conj<obj< eat,0.461,0.25,0.252,0.547,2,Fungus__kingdom,free_topic
nsubj<obl> ...,0.457,0.255,0.627,0.096,6,Fungus__kingdom,free_topic
amod> many,0.456,0.256,0.504,0.203,2,Fungus__kingdom,free_topic
obl<nsubj>nmod> ...,0.452,0.261,0.504,0.203,4,Fungus__kingdom,free_topic
nmod<obl<obl> ...,0.444,0.27,0.577,0.134,3,Fungus__kingdom,free_topic
obj<mark> ...,-0.442,0.272,-0.109,0.797,3,Fungus__kingdom,free_topic
conj<nmod<case> in,0.439,0.276,0.495,0.212,5,Fungus__kingdom,free_topic
compound< ...,0.434,0.283,0.632,0.093,10,Fungus__kingdom,free_topic
nmod<obj<advmod> ...,-0.432,0.285,-0.412,0.31,3,Fungus__kingdom,free_topic
obl< feed,0.43,0.288,0.495,0.212,4,Fungus__kingdom,free_topic
compound<det> the,0.424,0.295,0.733,0.039,5,Fungus__kingdom,free_topic
nsubj< ...,0.421,0.299,0.6,0.116,14,Fungus__kingdom,free_topic
conj>det> ...,-0.412,0.31,-0.577,0.134,1,Fungus__kingdom,free_topic
conj<obl>nmod> ...,0.41,0.313,0.405,0.319,3,Fungus__kingdom,free_topic
nmod<case> with,0.41,0.313,0.412,0.31,4,Fungus__kingdom,free_topic
nmod<case> ...,0.409,0.314,0.247,0.555,9,Fungus__kingdom,free_topic
nmod<nmod> ...,0.402,0.323,0.327,0.429,6,Fungus__kingdom,free_topic
nmod<amod> ...,0.399,0.327,0.405,0.319,10,Fungus__kingdom,free_topic
conj<compound> ...,0.395,0.333,0.187,0.657,7,Fungus__kingdom,free_topic
conj< leave,0.391,0.338,0.247,0.555,2,Fungus__kingdom,free_topic
conj<nmod> ...,0.389,0.341,0.577,0.134,7,Fungus__kingdom,free_topic
conj<obl<aux:pass> be,-0.386,0.345,-0.412,0.31,4,Fungus__kingdom,free_topic
nmod<obl<obj> ...,0.386,0.346,0.412,0.31,3,Fungus__kingdom,free_topic
nmod<case> for,0.378,0.356,0.327,0.429,3,Fungus__kingdom,free_topic
conj<obl<cop> be,0.373,0.363,0.412,0.31,3,Fungus__kingdom,free_topic
obl<advcl< ...,0.372,0.364,0.252,0.547,4,Fungus__kingdom,free_topic
nmod<amod> many,0.363,0.376,0.412,0.31,2,Fungus__kingdom,free_topic
conj<conj>det> the,-0.363,0.376,-0.126,0.766,2,Fungus__kingdom,free_topic
conj> bacteria,0.359,0.383,0.825,0.012,5,Fungus__kingdom,free_topic
nmod<amod> certain,0.358,0.384,0.412,0.31,3,Fungus__kingdom,free_topic
nmod<nmod>case> ...,-0.357,0.385,-0.412,0.31,3,Fungus__kingdom,free_topic
conj<acl> ...,0.356,0.386,0.218,0.604,3,Fungus__kingdom,free_topic
conj<nmod<compound> ...,-0.356,0.387,-0.412,0.31,3,Fungus__kingdom,free_topic
conj<nsubj< ...,0.355,0.388,0.412,0.31,3,Fungus__kingdom,free_topic
nmod>flat> ...,0.355,0.388,0.327,0.429,3,Fungus__kingdom,free_topic
conj<parataxis<conj> ...,0.355,0.388,0.378,0.356,4,Fungus__kingdom,free_topic
nmod<obl<nsubj> ...,0.355,0.389,0.412,0.31,5,Fungus__kingdom,free_topic
nsubj<cop> be,0.354,0.389,0.405,0.319,4,Fungus__kingdom,free_topic
conj<conj>acl> ...,0.352,0.393,0.282,0.499,3,Fungus__kingdom,free_topic
conj<obj< ...,0.348,0.399,0.309,0.457,6,Fungus__kingdom,free_topic
nsubj<obj> ...,0.346,0.401,0.412,0.31,4,Fungus__kingdom,free_topic
nmod<obj<nsubj> ...,0.339,0.411,0.412,0.31,5,Fungus__kingdom,free_topic
obj<advmod> also,0.337,0.414,0.016,0.971,3,Fungus__kingdom,free_topic
nmod<case> to,0.334,0.419,0.247,0.555,3,Fungus__kingdom,free_topic
conj<obl<cc> and,0.334,0.419,0.412,0.31,3,Fungus__kingdom,free_topic
obj<advmod> ...,-0.333,0.421,-0.247,0.555,2,Fungus__kingdom,free_topic
conj<conj>case> ...,0.326,0.43,0.327,0.429,4,Fungus__kingdom,free_topic
acl> ...,0.32,0.439,0.399,0.328,6,Fungus__kingdom,free_topic
nmod<nmod>case> include,-0.319,0.441,-0.247,0.555,2,Fungus__kingdom,free_topic
nmod<acl:relcl>nsubj> that,0.315,0.447,0.412,0.31,2,Fungus__kingdom,free_topic
conj>compound> ...,0.315,0.447,0.0,1.0,13,Fungus__kingdom,free_topic
conj<conj>amod> small,0.305,0.463,0.252,0.547,2,Fungus__kingdom,free_topic
compound<nmod< ...,-0.305,0.463,-0.156,0.712,3,Fungus__kingdom,free_topic
nmod<amod> symbiotic,0.302,0.467,0.412,0.31,3,Fungus__kingdom,free_topic
conj<det> a,-0.301,0.468,-0.504,0.203,2,Fungus__kingdom,free_topic
conj<obl< feed,0.3,0.47,0.412,0.31,2,Fungus__kingdom,free_topic
nmod>case>fixed> as,0.299,0.472,0.289,0.488,5,Fungus__kingdom,free_topic
conj<obl<advmod> ...,0.298,0.473,0.247,0.555,5,Fungus__kingdom,free_topic
compound> pathogenic,0.298,0.474,0.252,0.547,2,Fungus__kingdom,free_topic
conj<case>fixed> as,0.293,0.481,0.399,0.328,4,Fungus__kingdom,free_topic
conj<conj>amod> ...,0.293,0.481,0.243,0.563,16,Fungus__kingdom,free_topic
obl<aux> have,0.292,0.484,0.247,0.555,2,Fungus__kingdom,free_topic
cop> be,0.289,0.487,0.483,0.225,3,Fungus__kingdom,free_topic
obl<advcl> ...,-0.286,0.493,-0.187,0.657,3,Fungus__kingdom,free_topic
conj<conj> viruse,-0.285,0.493,-0.247,0.555,4,Fungus__kingdom,free_topic
conj<nmod<obj< ...,0.278,0.504,0.412,0.31,7,Fungus__kingdom,free_topic
acl:relcl> ...,0.272,0.514,-0.234,0.578,5,Fungus__kingdom,free_topic
conj<nmod<case> of,0.268,0.521,0.247,0.555,3,Fungus__kingdom,free_topic
conj<obj< provide,0.26,0.533,0.252,0.547,2,Fungus__kingdom,free_topic
conj<nmod<case> for,0.257,0.539,0.412,0.31,2,Fungus__kingdom,free_topic
conj<conj>amod> wild,0.255,0.542,0.252,0.547,2,Fungus__kingdom,free_topic
conj<det> ...,0.255,0.542,0.126,0.766,2,Fungus__kingdom,free_topic
compound> ...,-0.254,0.544,-0.317,0.444,10,Fungus__kingdom,free_topic
amod> dimorphic,-0.253,0.546,-0.247,0.555,2,Fungus__kingdom,free_topic
amod> mycorrhizal,-0.252,0.547,-0.016,0.971,4,Fungus__kingdom,free_topic
nmod>case> with,0.25,0.55,0.412,0.31,2,Fungus__kingdom,free_topic
nsubj<advmod> ...,0.249,0.551,0.282,0.499,3,Fungus__kingdom,free_topic
obl<aux:pass> be,-0.249,0.553,-0.3,0.47,6,Fungus__kingdom,free_topic
nmod<cop> ...,0.248,0.554,0.247,0.555,1,Fungus__kingdom,free_topic
conj< grass,0.241,0.565,0.312,0.452,3,Fungus__kingdom,free_topic
obj< contain,0.239,0.569,0.378,0.356,2,Fungus__kingdom,free_topic
obl<cop> be,0.237,0.572,0.234,0.577,3,Fungus__kingdom,free_topic
conj<nmod<case> ...,0.233,0.579,0.247,0.555,6,Fungus__kingdom,free_topic
conj<conj>amod> several,0.225,0.593,0.247,0.555,3,Fungus__kingdom,free_topic
nsubj<obl>case> ...,-0.221,0.6,0.096,0.821,5,Fungus__kingdom,free_topic
conj<nmod<compound> International,-0.217,0.607,-0.412,0.31,2,Fungus__kingdom,free_topic
conj<conj> protozoa,-0.216,0.607,0.137,0.745,6,Fungus__kingdom,free_topic
compound<case> of,0.21,0.618,0.247,0.555,2,Fungus__kingdom,free_topic
obl<nsubj:pass> ...,-0.209,0.619,-0.289,0.488,7,Fungus__kingdom,free_topic
obl<obl>det> the,-0.209,0.62,-0.126,0.766,2,Fungus__kingdom,free_topic
conj<obj<aux> can,-0.208,0.621,-0.126,0.766,2,Fungus__kingdom,free_topic
conj<nmod< feed,0.205,0.626,0.082,0.846,2,Fungus__kingdom,free_topic
conj<conj>amod> green,0.203,0.63,0.082,0.846,2,Fungus__kingdom,free_topic
acl> grow,0.197,0.641,0.247,0.555,3,Fungus__kingdom,free_topic
conj<nsubj>amod> ...,0.195,0.643,0.247,0.555,4,Fungus__kingdom,free_topic
conj<nmod< fossil,0.194,0.645,0.082,0.846,3,Fungus__kingdom,free_topic
nmod<cop> be,0.194,0.646,0.247,0.555,4,Fungus__kingdom,free_topic
conj<conj> bacteria,-0.19,0.652,0.218,0.604,11,Fungus__kingdom,free_topic
conj<nmod<nsubj> ...,0.188,0.655,0.247,0.555,3,Fungus__kingdom,free_topic
conj<nmod<case> by,0.186,0.66,0.405,0.319,3,Fungus__kingdom,free_topic
nsubj<obl>det> the,0.184,0.662,0.078,0.854,3,Fungus__kingdom,free_topic
amod>advmod> ...,0.183,0.664,0.126,0.766,2,Fungus__kingdom,free_topic
nmod<conj<nsubj> ...,-0.183,0.664,-0.412,0.31,3,Fungus__kingdom,free_topic
obj<nsubj> ...,-0.179,0.671,-0.261,0.532,7,Fungus__kingdom,free_topic
conj<nmod<case> with,0.179,0.672,0.247,0.555,2,Fungus__kingdom,free_topic
conj<nmod<obl< ...,-0.179,0.672,0.179,0.672,13,Fungus__kingdom,free_topic
nmod<conj< ...,-0.178,0.673,-0.047,0.912,6,Fungus__kingdom,free_topic
conj<conj>amod> other,0.177,0.674,0.165,0.696,7,Fungus__kingdom,free_topic
nmod<acl:relcl>obl> ...,0.176,0.676,0.247,0.555,3,Fungus__kingdom,free_topic
obl<conj< ...,-0.176,0.677,-0.126,0.766,4,Fungus__kingdom,free_topic
conj<conj>nmod> conifer,0.173,0.682,0.247,0.555,3,Fungus__kingdom,free_topic
nmod<nummod> ...,-0.172,0.684,-0.078,0.854,3,Fungus__kingdom,free_topic
nmod<obl<mark> ...,-0.169,0.689,-0.082,0.846,1,Fungus__kingdom,free_topic
nmod<acl:relcl> ...,-0.168,0.691,0.082,0.846,4,Fungus__kingdom,free_topic
obl< place,0.167,0.692,0.247,0.555,2,Fungus__kingdom,free_topic
obj<cc> ...,-0.164,0.698,-0.082,0.846,1,Fungus__kingdom,free_topic
obl<conj<nsubj> ...,-0.163,0.7,-0.203,0.63,3,Fungus__kingdom,free_topic
nmod<obl<mark> to,-0.162,0.701,-0.082,0.846,2,Fungus__kingdom,free_topic
obl<acl:relcl< ...,0.162,0.701,0.343,0.406,3,Fungus__kingdom,free_topic
conj<obl< ...,0.16,0.705,0.405,0.319,11,Fungus__kingdom,free_topic
conj<conj>advmod> ...,-0.158,0.709,-0.203,0.63,3,Fungus__kingdom,free_topic
conj>nmod>case> of,0.157,0.711,0.252,0.547,2,Fungus__kingdom,free_topic
conj<conj> plant,-0.157,0.711,0.109,0.797,14,Fungus__kingdom,free_topic
obl<obl>case> ...,-0.152,0.719,0.055,0.898,7,Fungus__kingdom,free_topic
nmod<nsubj< ...,0.152,0.72,0.247,0.555,3,Fungus__kingdom,free_topic
conj<conj>det> a,0.152,0.72,0.082,0.846,3,Fungus__kingdom,free_topic
nmod<conj<conj> ...,0.151,0.722,0.343,0.406,3,Fungus__kingdom,free_topic
conj<cop> be,0.147,0.728,0.222,0.598,6,Fungus__kingdom,free_topic
det> ...,-0.143,0.735,-0.082,0.846,1,Fungus__kingdom,free_topic
conj<nmod<obl< reveal,0.142,0.736,0.082,0.846,2,Fungus__kingdom,free_topic
conj<conj>obj> ...,0.139,0.743,0.247,0.555,3,Fungus__kingdom,free_topic
conj<amod> other,0.138,0.744,-0.082,0.846,2,Fungus__kingdom,free_topic
nsubj<advcl>obj> ...,0.138,0.744,0.412,0.31,3,Fungus__kingdom,free_topic
nmod>amod> genus,-0.137,0.746,-0.082,0.846,2,Fungus__kingdom,free_topic
conj<nmod<det> a,0.137,0.746,0.247,0.555,4,Fungus__kingdom,free_topic
nmod<nsubj> ...,0.135,0.75,0.247,0.555,5,Fungus__kingdom,free_topic
acl>obl> ...,0.13,0.758,0.165,0.696,8,Fungus__kingdom,free_topic
conj<conj>compound> animal,0.123,0.772,0.124,0.77,4,Fungus__kingdom,free_topic
obl<advmod> previously,-0.122,0.774,-0.082,0.846,2,Fungus__kingdom,free_topic
obj<obl> ...,0.12,0.778,0.047,0.912,3,Fungus__kingdom,free_topic
nmod<obl<acl< ...,0.119,0.779,0.247,0.555,3,Fungus__kingdom,free_topic
conj<conj>det> ...,0.117,0.783,0.0,1.0,2,Fungus__kingdom,free_topic
