feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<parataxis<amod> prefer,-0.568,0.142,-0.577,0.134,2,Bovid__family,taxongroup_topic
conj>cc> ...,0.566,0.144,0.577,0.134,1,Bovid__family,taxongroup_topic
case> from,0.562,0.147,0.327,0.429,3,Bovid__family,taxongroup_topic
conj<compound> water,0.561,0.148,0.63,0.094,2,Bovid__family,taxongroup_topic
nsubj<conj>aux:pass> be,-0.561,0.148,-0.436,0.28,6,Bovid__family,taxongroup_topic
conj<appos>conj> hoof,0.557,0.151,0.577,0.134,2,Bovid__family,taxongroup_topic
conj<obj< ...,-0.556,0.152,-0.504,0.203,2,Bovid__family,taxongroup_topic
nmod<det> a,0.555,0.153,0.674,0.067,8,Bovid__family,taxongroup_topic
conj<obl>case> ...,-0.555,0.154,-0.274,0.512,5,Bovid__family,taxongroup_topic
appos<compound> ...,-0.554,0.154,-0.385,0.346,4,Bovid__family,taxongroup_topic
conj<case> between,0.554,0.154,0.577,0.134,2,Bovid__family,taxongroup_topic
nsubj<nmod> zodiac,0.553,0.155,0.577,0.134,2,Bovid__family,taxongroup_topic
nmod<obj< ...,0.551,0.157,0.327,0.429,5,Bovid__family,taxongroup_topic
nsubj<appos>det> the,0.549,0.158,0.577,0.134,2,Bovid__family,taxongroup_topic
appos<list> Lydekker,0.547,0.16,0.577,0.134,2,Bovid__family,taxongroup_topic
appos<appos>compound> water,-0.547,0.161,-0.577,0.134,2,Bovid__family,taxongroup_topic
nsubj<appos>det> ...,0.545,0.162,0.577,0.134,1,Bovid__family,taxongroup_topic
compound<nmod< name,0.545,0.163,0.577,0.134,2,Bovid__family,taxongroup_topic
conj<obl>case> in,0.544,0.163,0.756,0.03,2,Bovid__family,taxongroup_topic
conj<conj>appos> aegagrus,0.543,0.164,0.483,0.225,3,Bovid__family,taxongroup_topic
obj<appos>amod> large,-0.542,0.165,-0.577,0.134,2,Bovid__family,taxongroup_topic
nsubj<obj> buffalo,0.541,0.166,0.577,0.134,2,Bovid__family,taxongroup_topic
conj<appos< ...,0.541,0.166,0.577,0.134,3,Bovid__family,taxongroup_topic
nsubj<obl>case> for,0.54,0.167,0.514,0.192,3,Bovid__family,taxongroup_topic
conj<case> in,0.539,0.168,0.577,0.134,4,Bovid__family,taxongroup_topic
nmod<det> the,0.537,0.17,0.319,0.441,17,Bovid__family,taxongroup_topic
amod> Dall,-0.537,0.17,-0.577,0.134,2,Bovid__family,taxongroup_topic
conj> ...,0.536,0.171,0.495,0.213,32,Bovid__family,taxongroup_topic
conj<conj>nmod> ...,0.534,0.173,0.546,0.162,3,Bovid__family,taxongroup_topic
nsubj<cop> be,0.533,0.174,0.655,0.078,43,Bovid__family,taxongroup_topic
obl<acl<det> ...,0.531,0.176,0.577,0.134,1,Bovid__family,taxongroup_topic
appos<det> the,0.529,0.177,0.0,1.0,6,Bovid__family,taxongroup_topic
conj>compound> water,0.529,0.178,0.577,0.134,2,Bovid__family,taxongroup_topic
nmod<case> of,-0.528,0.179,-0.592,0.122,5,Bovid__family,taxongroup_topic
nsubj<parataxis>advmod> ...,0.525,0.181,0.592,0.122,3,Bovid__family,taxongroup_topic
compound<obl<advcl> ...,-0.523,0.184,-0.412,0.31,4,Bovid__family,taxongroup_topic
conj<conj>appos> ...,0.52,0.187,0.577,0.134,3,Bovid__family,taxongroup_topic
obj<appos>amod> ...,-0.518,0.188,-0.577,0.134,1,Bovid__family,taxongroup_topic
compound<nmod< ...,0.517,0.189,0.577,0.134,4,Bovid__family,taxongroup_topic
conj< horse,0.516,0.191,0.592,0.122,3,Bovid__family,taxongroup_topic
nmod<nsubj>det> the,0.515,0.192,0.412,0.31,2,Bovid__family,taxongroup_topic
appos<list> Chow,0.514,0.193,0.577,0.134,2,Bovid__family,taxongroup_topic
amod> horn,0.514,0.193,0.63,0.094,2,Bovid__family,taxongroup_topic
obj<advmod> also,0.514,0.193,0.546,0.162,3,Bovid__family,taxongroup_topic
appos<list> Bubalus,0.514,0.193,0.577,0.134,2,Bovid__family,taxongroup_topic
appos>flat> ...,0.511,0.196,0.655,0.078,7,Bovid__family,taxongroup_topic
conj<appos>nmod> deer,0.509,0.197,0.577,0.134,3,Bovid__family,taxongroup_topic
conj<appos>nmod> ...,0.507,0.199,0.577,0.134,2,Bovid__family,taxongroup_topic
nmod<amod> large,0.507,0.199,0.577,0.134,2,Bovid__family,taxongroup_topic
conj<cop> be,-0.507,0.2,-0.44,0.275,4,Bovid__family,taxongroup_topic
nmod<conj< ...,0.506,0.2,0.218,0.604,6,Bovid__family,taxongroup_topic
appos>nmod>case> of,0.506,0.201,0.504,0.203,2,Bovid__family,taxongroup_topic
nsubj<parataxis> ...,0.504,0.203,0.764,0.027,9,Bovid__family,taxongroup_topic
nmod< ...,0.503,0.204,0.135,0.75,29,Bovid__family,taxongroup_topic
nsubj<nmod> America,0.501,0.206,0.577,0.134,2,Bovid__family,taxongroup_topic
appos<acl> know,-0.5,0.207,-0.592,0.122,3,Bovid__family,taxongroup_topic
compound> Mountain,0.498,0.209,0.733,0.039,3,Bovid__family,taxongroup_topic
compound< animal,-0.498,0.209,-0.577,0.134,2,Bovid__family,taxongroup_topic
nsubj<acl:relcl>obl> ...,0.497,0.21,0.577,0.134,3,Bovid__family,taxongroup_topic
conj<nmod>case> ...,-0.497,0.21,-0.357,0.385,4,Bovid__family,taxongroup_topic
nsubj<obj>conj> buffalo,0.496,0.211,0.577,0.134,3,Bovid__family,taxongroup_topic
appos> t,-0.494,0.213,-0.109,0.797,3,Bovid__family,taxongroup_topic
nsubj:pass<aux:pass> be,-0.493,0.214,-0.294,0.48,16,Bovid__family,taxongroup_topic
obl<amod< animal,-0.492,0.215,-0.378,0.356,2,Bovid__family,taxongroup_topic
obl<cop> be,0.492,0.216,0.412,0.31,3,Bovid__family,taxongroup_topic
det> the,0.491,0.217,0.39,0.339,87,Bovid__family,taxongroup_topic
nmod<nmod> ...,0.489,0.219,0.536,0.171,6,Bovid__family,taxongroup_topic
appos<list>nummod> 1877,0.488,0.22,0.577,0.134,2,Bovid__family,taxongroup_topic
nsubj<appos>det> a,0.487,0.221,0.577,0.134,3,Bovid__family,taxongroup_topic
case> to,0.486,0.222,0.592,0.122,5,Bovid__family,taxongroup_topic
nsubj:pass<parataxis>advmod> ...,0.486,0.222,0.577,0.134,3,Bovid__family,taxongroup_topic
nmod<amod> domestic,0.481,0.228,0.536,0.171,5,Bovid__family,taxongroup_topic
compound<nsubj:pass<aux> have,-0.48,0.229,-0.577,0.134,2,Bovid__family,taxongroup_topic
nsubj<conj>det> a,-0.48,0.229,-0.378,0.356,2,Bovid__family,taxongroup_topic
compound<nmod>case> in,0.479,0.229,0.546,0.162,3,Bovid__family,taxongroup_topic
nsubj> ...,0.478,0.231,0.192,0.648,5,Bovid__family,taxongroup_topic
appos<compound<flat> ...,0.477,0.232,0.412,0.31,4,Bovid__family,taxongroup_topic
appos<list>nummod> 1932,0.477,0.232,0.577,0.134,2,Bovid__family,taxongroup_topic
compound<nmod> season,0.477,0.232,0.412,0.31,2,Bovid__family,taxongroup_topic
appos<list>nummod> 1928,0.477,0.232,0.577,0.134,2,Bovid__family,taxongroup_topic
conj<appos>flat> ...,0.474,0.235,0.577,0.134,1,Bovid__family,taxongroup_topic
appos<appos>flat> palaeokerabau,0.473,0.237,0.412,0.31,2,Bovid__family,taxongroup_topic
conj<conj>det> the,0.473,0.237,0.536,0.171,5,Bovid__family,taxongroup_topic
conj> pig,0.471,0.239,0.412,0.31,2,Bovid__family,taxongroup_topic
compound<nsubj< ...,-0.47,0.24,-0.577,0.134,4,Bovid__family,taxongroup_topic
case> in,0.466,0.244,0.289,0.488,5,Bovid__family,taxongroup_topic
appos<appos> Bubalus,0.466,0.245,0.577,0.134,2,Bovid__family,taxongroup_topic
conj<conj>cc> but,0.463,0.248,0.577,0.134,3,Bovid__family,taxongroup_topic
nmod<appos< sheep,0.46,0.251,0.412,0.31,2,Bovid__family,taxongroup_topic
appos>det> a,-0.458,0.253,-0.504,0.203,2,Bovid__family,taxongroup_topic
compound<appos<appos> ...,0.458,0.254,0.577,0.134,4,Bovid__family,taxongroup_topic
conj>cc> or,0.457,0.254,0.37,0.366,9,Bovid__family,taxongroup_topic
conj> goat,0.457,0.254,0.412,0.31,3,Bovid__family,taxongroup_topic
nsubj<advcl>obj> ...,0.452,0.261,0.078,0.854,6,Bovid__family,taxongroup_topic
nmod<nmod>case> ...,-0.451,0.262,-0.412,0.31,2,Bovid__family,taxongroup_topic
nsubj:pass<obl>conj> meat,0.451,0.262,0.577,0.134,2,Bovid__family,taxongroup_topic
nsubj<aux> ...,0.45,0.264,0.412,0.31,2,Bovid__family,taxongroup_topic
appos<compound<appos> ...,0.449,0.265,0.412,0.31,1,Bovid__family,taxongroup_topic
conj> sheep,0.448,0.265,0.412,0.31,2,Bovid__family,taxongroup_topic
conj<nmod<case> like,-0.448,0.265,-0.577,0.134,2,Bovid__family,taxongroup_topic
appos<compound>flat> grovesi,0.448,0.266,0.412,0.31,2,Bovid__family,taxongroup_topic
conj<conj>nmod> donkey,0.447,0.267,0.412,0.31,2,Bovid__family,taxongroup_topic
nsubj<nmod> Africa,0.447,0.267,0.577,0.134,2,Bovid__family,taxongroup_topic
compound<nsubj:pass<aux> ...,-0.445,0.27,-0.577,0.134,1,Bovid__family,taxongroup_topic
conj<obj<appos> ...,-0.444,0.27,-0.412,0.31,1,Bovid__family,taxongroup_topic
obl< ...,0.444,0.271,0.436,0.28,16,Bovid__family,taxongroup_topic
nsubj<appos>amod> large,-0.442,0.273,-0.577,0.134,3,Bovid__family,taxongroup_topic
conj<nsubj> ...,0.441,0.274,0.456,0.256,7,Bovid__family,taxongroup_topic
obl<nsubj:pass> ...,-0.441,0.274,-0.252,0.547,4,Bovid__family,taxongroup_topic
obj<nsubj> bird,-0.438,0.278,-0.504,0.203,2,Bovid__family,taxongroup_topic
nsubj<obj> ...,-0.438,0.278,-0.592,0.122,14,Bovid__family,taxongroup_topic
nsubj:pass<obl>conj> ...,0.438,0.278,0.577,0.134,3,Bovid__family,taxongroup_topic
appos<list>nummod> 1908,0.434,0.283,0.577,0.134,2,Bovid__family,taxongroup_topic
nsubj<amod> first,-0.432,0.285,-0.378,0.356,2,Bovid__family,taxongroup_topic
amod> african,-0.432,0.285,-0.518,0.188,6,Bovid__family,taxongroup_topic
obj<advcl< ...,-0.431,0.286,-0.109,0.797,3,Bovid__family,taxongroup_topic
appos>conj>cc> ...,0.431,0.286,0.412,0.31,1,Bovid__family,taxongroup_topic
obj<advcl<obl> ...,0.43,0.288,0.327,0.429,3,Bovid__family,taxongroup_topic
appos>goeswith> ...,-0.428,0.29,-0.412,0.31,1,Bovid__family,taxongroup_topic
obj<obl>case> ...,0.425,0.294,0.577,0.134,3,Bovid__family,taxongroup_topic
nsubj:pass<obl>case> for,0.424,0.295,0.483,0.225,3,Bovid__family,taxongroup_topic
nsubj<nmod> Pakistan,0.424,0.295,0.412,0.31,4,Bovid__family,taxongroup_topic
nsubj<acl>obl> ...,0.422,0.297,0.109,0.797,3,Bovid__family,taxongroup_topic
conj<obl<nsubj> ...,-0.421,0.299,-0.514,0.192,6,Bovid__family,taxongroup_topic
conj<conj>cc> or,0.421,0.299,0.412,0.31,2,Bovid__family,taxongroup_topic
acl>obl> ...,0.421,0.299,0.296,0.476,7,Bovid__family,taxongroup_topic
case> as,0.419,0.301,0.082,0.846,11,Bovid__family,taxongroup_topic
nsubj<nmod> ...,0.419,0.301,0.412,0.31,19,Bovid__family,taxongroup_topic
nmod<nsubj:pass<aux:pass> be,-0.418,0.303,-0.592,0.122,3,Bovid__family,taxongroup_topic
compound>flat> ...,0.415,0.306,0.504,0.203,2,Bovid__family,taxongroup_topic
conj<conj> cattle,0.414,0.308,0.452,0.261,7,Bovid__family,taxongroup_topic
conj<parataxis< species,0.414,0.308,0.577,0.134,2,Bovid__family,taxongroup_topic
nsubj<advcl> ...,0.411,0.312,0.733,0.039,7,Bovid__family,taxongroup_topic
appos>det> ...,-0.409,0.314,-0.412,0.31,1,Bovid__family,taxongroup_topic
conj> rabbit,0.409,0.315,0.412,0.31,2,Bovid__family,taxongroup_topic
conj<conj>det> a,0.409,0.315,0.412,0.31,3,Bovid__family,taxongroup_topic
conj<nsubj< have,-0.408,0.316,-0.412,0.31,2,Bovid__family,taxongroup_topic
