feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod>conj> rabbit,0.712,0.048,0.577,0.134,2,Rodent__order,taxongroup_comment
nmod>conj> ...,0.711,0.048,0.365,0.374,21,Rodent__order,taxongroup_comment
compound>compound>compound> mole,0.708,0.049,0.63,0.094,2,Rodent__order,taxongroup_comment
nmod<nmod>conj> squirrel,0.708,0.05,0.577,0.134,2,Rodent__order,taxongroup_comment
nsubj<obl>case> of,0.705,0.051,0.577,0.134,2,Rodent__order,taxongroup_comment
nmod<nmod>conj> ...,0.705,0.051,0.577,0.134,3,Rodent__order,taxongroup_comment
obl<advcl>obj> ...,0.705,0.051,0.655,0.078,5,Rodent__order,taxongroup_comment
nmod<case> of,0.703,0.052,0.577,0.134,5,Rodent__order,taxongroup_comment
nmod> squirrel,0.702,0.052,0.736,0.037,8,Rodent__order,taxongroup_comment
nmod:poss>case> 's,-0.702,0.052,-0.741,0.036,11,Rodent__order,taxongroup_comment
conj>cc> ...,0.7,0.053,0.218,0.604,5,Rodent__order,taxongroup_comment
nmod>conj>cc> ...,0.698,0.054,0.577,0.134,1,Rodent__order,taxongroup_comment
conj<case> by,0.698,0.054,0.62,0.101,3,Rodent__order,taxongroup_comment
appos>compound> ...,0.695,0.056,0.627,0.096,10,Rodent__order,taxongroup_comment
amod>advcl>obl> ...,-0.69,0.058,-0.546,0.162,3,Rodent__order,taxongroup_comment
nsubj<obj>amod> ...,0.689,0.058,0.894,0.003,13,Rodent__order,taxongroup_comment
nmod>conj> vole,0.687,0.06,0.577,0.134,3,Rodent__order,taxongroup_comment
nsubj:pass<obl> ...,0.683,0.062,0.518,0.188,12,Rodent__order,taxongroup_comment
nmod< perspective,0.682,0.062,0.577,0.134,2,Rodent__order,taxongroup_comment
nmod>conj>compound> ...,0.68,0.063,0.218,0.604,3,Rodent__order,taxongroup_comment
nmod<case> in,0.68,0.063,0.577,0.134,2,Rodent__order,taxongroup_comment
acl>obl> ...,-0.679,0.064,-0.281,0.5,9,Rodent__order,taxongroup_comment
nmod<obj< ...,0.676,0.066,0.627,0.096,11,Rodent__order,taxongroup_comment
amod>advcl>mark> ...,-0.674,0.067,-0.63,0.094,2,Rodent__order,taxongroup_comment
compound<compound<compound> mole,0.674,0.067,0.481,0.227,5,Rodent__order,taxongroup_comment
conj<conj>cc> Sciurus,0.673,0.067,0.218,0.604,9,Rodent__order,taxongroup_comment
obj<parataxis> ...,0.672,0.068,0.577,0.134,3,Rodent__order,taxongroup_comment
nmod> mouse,0.672,0.068,0.577,0.134,2,Rodent__order,taxongroup_comment
conj<appos<compound> ...,0.672,0.068,0.577,0.134,3,Rodent__order,taxongroup_comment
case> in,0.67,0.069,0.546,0.162,8,Rodent__order,taxongroup_comment
flat<appos>conj> ...,-0.668,0.07,-0.577,0.134,3,Rodent__order,taxongroup_comment
amod>advcl> evolve,0.668,0.07,0.577,0.134,2,Rodent__order,taxongroup_comment
nmod>conj> rat,0.666,0.071,0.577,0.134,3,Rodent__order,taxongroup_comment
compound<compound> Fukomys,0.666,0.071,0.63,0.094,2,Rodent__order,taxongroup_comment
conj<nsubj< variegatoides,0.666,0.072,0.577,0.134,3,Rodent__order,taxongroup_comment
nsubj< eat,0.665,0.072,0.655,0.078,3,Rodent__order,taxongroup_comment
compound<compound>compound> rat,0.663,0.073,0.63,0.094,2,Rodent__order,taxongroup_comment
compound<compound<compound> Mechow,0.663,0.073,0.577,0.134,3,Rodent__order,taxongroup_comment
case> from,0.662,0.074,0.546,0.162,3,Rodent__order,taxongroup_comment
nsubj<advcl> ...,0.662,0.074,0.682,0.062,11,Rodent__order,taxongroup_comment
nmod<obl< ...,0.658,0.076,0.577,0.134,11,Rodent__order,taxongroup_comment
nmod> ...,0.654,0.079,0.63,0.094,34,Rodent__order,taxongroup_comment
acl>obl>det> a,0.653,0.079,0.577,0.134,2,Rodent__order,taxongroup_comment
nmod< family,0.651,0.08,0.577,0.134,2,Rodent__order,taxongroup_comment
conj<conj<conj> ...,0.65,0.081,0.577,0.134,1,Rodent__order,taxongroup_comment
nsubj<amod> only,0.649,0.082,0.756,0.03,2,Rodent__order,taxongroup_comment
nsubj<obl>det> the,0.648,0.082,0.436,0.28,7,Rodent__order,taxongroup_comment
nmod<conj> invertebrate,0.646,0.083,0.577,0.134,2,Rodent__order,taxongroup_comment
nmod<obl<cc> but,0.645,0.084,0.577,0.134,2,Rodent__order,taxongroup_comment
amod> ...,0.641,0.087,0.286,0.493,87,Rodent__order,taxongroup_comment
nsubj<amod>advmod> ...,0.64,0.087,0.546,0.162,3,Rodent__order,taxongroup_comment
compound> Red,0.639,0.088,0.091,0.83,18,Rodent__order,taxongroup_comment
