s	p	o
Gray_Whale#species	wo:growsIn	Neritic_zone#habitat
Gray_Whale#species	wo:growsIn	Pelagic#habitat
Gray_Whale#species	wo:kingdom	Animal#kingdom
Gray_Whale#species	wo:livesIn	Neritic_zone#habitat
Gray_Whale#species	wo:livesIn	Pelagic#habitat
Gray_Whale#species	wo:name	Gray_Whale#name
Gray_Whale#species	wo:order	Cetacea#order
Gray_Whale#species	wo:phylum	Chordate#phylum
Gray_Whale#species	wo:superorder	Cetartiodactyla#superorder
Gray_Wolf#species	rdf:type	wo:Species
Gray_Wolf#species	wo:genus	Canis#genus
Gray_Wolf#species	rdf:type	wo:Species
Gray_Wolf#species	wo:adaptation	Altricial#adaptation
Gray_Wolf#species	wo:adaptation	Carnivore#adaptation
Gray_Wolf#species	wo:adaptation	Cooperative_breeding#adaptation
Gray_Wolf#species	wo:adaptation	Dominance_hierarchy#adaptation
Gray_Wolf#species	wo:adaptation	Hearing_sense#adaptation
Gray_Wolf#species	wo:adaptation	Maternal_effect#adaptation
Gray_Wolf#species	wo:adaptation	Monogamous_pairing_in_animals#adaptation
Gray_Wolf#species	wo:adaptation	Nocturnality#adaptation
Gray_Wolf#species	wo:adaptation	Nomad#adaptation
Gray_Wolf#species	wo:adaptation	Pack_hunter#adaptation
Gray_Wolf#species	wo:adaptation	Parental_investment#adaptation
Gray_Wolf#species	wo:adaptation	Polygynandry#adaptation
Gray_Wolf#species	wo:adaptation	Polymorphism_biology#adaptation
Gray_Wolf#species	wo:adaptation	Presociality#adaptation
Gray_Wolf#species	wo:adaptation	Running#adaptation
Gray_Wolf#species	wo:adaptation	Scavenger#adaptation
Gray_Wolf#species	wo:adaptation	Semiochemical#adaptation
Gray_Wolf#species	wo:adaptation	Territory_animal#adaptation
Gray_Wolf#species	wo:adaptation	Visual_perception#adaptation
Gray_Wolf#species	wo:adaptation	Vivipary#adaptation
Gray_Wolf#species	wo:class	Mammal#class
Gray_Wolf#species	wo:ecozone	Afrotropic_ecozone#ecozone
Gray_Wolf#species	wo:ecozone	Indomalaya_ecozone#ecozone
Gray_Wolf#species	wo:ecozone	Nearctic_ecozone#ecozone
Gray_Wolf#species	wo:ecozone	Palearctic_ecozone#ecozone
Gray_Wolf#species	wo:family	Canidae#family
Gray_Wolf#species	wo:genus	Canis#genus
Gray_Wolf#species	wo:growsIn	Deserts_and_xeric_shrublands#habitat
Gray_Wolf#species	wo:growsIn	Flooded_grasslands_and_savannas#habitat
Gray_Wolf#species	wo:growsIn	Mediterranean_forests_woodlands_and_scrub#habitat
Gray_Wolf#species	wo:growsIn	Montane_grasslands_and_shrublands#habitat
Gray_Wolf#species	wo:growsIn	Moorland#habitat
Gray_Wolf#species	wo:growsIn	Taiga#habitat
Gray_Wolf#species	wo:growsIn	Temperate_broadleaf_and_mixed_forests#habitat
Gray_Wolf#species	wo:growsIn	Temperate_coniferous_forest#habitat
Gray_Wolf#species	wo:growsIn	Temperate_grasslands_savannas_and_shrublands#habitat
Gray_Wolf#species	wo:growsIn	Tropical_and_subtropical_dry_broadleaf_forests#habitat
Gray_Wolf#species	wo:growsIn	Tundra#habitat
Gray_Wolf#species	wo:kingdom	Animal#kingdom
Gray_Wolf#species	wo:livesIn	Deserts_and_xeric_shrublands#habitat
Gray_Wolf#species	wo:livesIn	Flooded_grasslands_and_savannas#habitat
Gray_Wolf#species	wo:livesIn	Mediterranean_forests_woodlands_and_scrub#habitat
Gray_Wolf#species	wo:livesIn	Montane_grasslands_and_shrublands#habitat
Gray_Wolf#species	wo:livesIn	Moorland#habitat
Gray_Wolf#species	wo:livesIn	Taiga#habitat
Gray_Wolf#species	wo:livesIn	Temperate_broadleaf_and_mixed_forests#habitat
Gray_Wolf#species	wo:livesIn	Temperate_coniferous_forest#habitat
Gray_Wolf#species	wo:livesIn	Temperate_grasslands_savannas_and_shrublands#habitat
Gray_Wolf#species	wo:livesIn	Tropical_and_subtropical_dry_broadleaf_forests#habitat
Gray_Wolf#species	wo:livesIn	Tundra#habitat
Gray_Wolf#species	wo:name	Gray_Wolf#name
Gray_Wolf#species	wo:order	Carnivora#order
Gray_Wolf#species	wo:phylum	Chordate#phylum
Great_Black-backed_Gull#species	rdf:type	wo:Species
Great_Black-backed_Gull#species	wo:genus	Larus#genus
Great_Black-backed_Gull#species	rdf:type	wo:Species
Great_Black-backed_Gull#species	wo:adaptation	Altricial#adaptation
Great_Black-backed_Gull#species	wo:adaptation	Carnivore#adaptation
Great_Black-backed_Gull#species	wo:adaptation	Colony_biology#adaptation
Great_Black-backed_Gull#species	wo:adaptation	Flight#adaptation
Great_Black-backed_Gull#species	wo:adaptation	Hearing_sense#adaptation
Great_Black-backed_Gull#species	wo:adaptation	Kleptoparasitism#adaptation
Great_Black-backed_Gull#species	wo:adaptation	Monogamous_pairing_in_animals#adaptation
Great_Black-backed_Gull#species	wo:adaptation	Oviparity#adaptation
Great_Black-backed_Gull#species	wo:adaptation	Predation#adaptation
Great_Black-backed_Gull#species	wo:adaptation	Scavenger#adaptation
Great_Black-backed_Gull#species	wo:class	Bird#class
Great_Black-backed_Gull#species	wo:ecozone	Nearctic_ecozone#ecozone
Great_Black-backed_Gull#species	wo:ecozone	Palearctic_ecozone#ecozone
Great_Black-backed_Gull#species	wo:family	Gull#family
Great_Black-backed_Gull#species	wo:genus	Larus#genus
Great_Black-backed_Gull#species	wo:growsIn	Arable_land#habitat
Great_Black-backed_Gull#species	wo:growsIn	Brownfield_land#habitat
Great_Black-backed_Gull#species	wo:growsIn	Coast#habitat
Great_Black-backed_Gull#species	wo:growsIn	Estuary#habitat
Great_Black-backed_Gull#species	wo:growsIn	Intertidal_zone#habitat
Great_Black-backed_Gull#species	wo:growsIn	Lake#habitat
Great_Black-backed_Gull#species	wo:growsIn	Neritic_zone#habitat
Great_Black-backed_Gull#species	wo:growsIn	Pelagic#habitat
Great_Black-backed_Gull#species	wo:growsIn	Temperate_grasslands_savannas_and_shrublands#habitat
Great_Black-backed_Gull#species	wo:growsIn	Urban_ecosystem#habitat
Great_Black-backed_Gull#species	wo:growsIn	Wetland#habitat
Great_Black-backed_Gull#species	wo:kingdom	Animal#kingdom
Great_Black-backed_Gull#species	wo:livesIn	Arable_land#habitat
Great_Black-backed_Gull#species	wo:livesIn	Brownfield_land#habitat
Great_Black-backed_Gull#species	wo:livesIn	Coast#habitat
Great_Black-backed_Gull#species	wo:livesIn	Estuary#habitat
Great_Black-backed_Gull#species	wo:livesIn	Intertidal_zone#habitat
Great_Black-backed_Gull#species	wo:livesIn	Lake#habitat
Great_Black-backed_Gull#species	wo:livesIn	Neritic_zone#habitat
Great_Black-backed_Gull#species	wo:livesIn	Pelagic#habitat
Great_Black-backed_Gull#species	wo:livesIn	Temperate_grasslands_savannas_and_shrublands#habitat
Great_Black-backed_Gull#species	wo:livesIn	Urban_ecosystem#habitat
Great_Black-backed_Gull#species	wo:livesIn	Wetland#habitat
Great_Black-backed_Gull#species	wo:name	Great_Black-backed_Gull#name
Great_Black-backed_Gull#species	wo:order	Charadriiformes#order
Great_Black-backed_Gull#species	wo:phylum	Chordate#phylum
Great_Bustard#species	rdf:type	wo:Species
Great_Bustard#species	wo:order	Gruiformes#order
Great_Bustard#species	rdf:type	wo:Species
Great_Bustard#species	wo:adaptation	Animal_migration#adaptation
Great_Bustard#species	wo:adaptation	Courtship_display#adaptation
Great_Bustard#species	wo:adaptation	Hearing_sense#adaptation
Great_Bustard#species	wo:adaptation	Maternal_effect#adaptation
Great_Bustard#species	wo:adaptation	Moulting#adaptation
Great_Bustard#species	wo:adaptation	Oviparity#adaptation
Great_Bustard#species	wo:adaptation	Polygyny#adaptation
Great_Bustard#species	wo:adaptation	Precocial#adaptation
Great_Bustard#species	wo:adaptation	Sexual_dimorphism#adaptation
Great_Bustard#species	wo:adaptation	Visual_perception#adaptation
Great_Bustard#species	wo:class	Bird#class
Great_Bustard#species	wo:ecozone	Indomalaya_ecozone#ecozone
Great_Bustard#species	wo:ecozone	Palearctic_ecozone#ecozone
Great_Bustard#species	wo:family	Bustard#family
Great_Bustard#species	wo:genus	Otis#genus
Great_Bustard#species	wo:growsIn	Arable_land#habitat
Great_Bustard#species	wo:growsIn	Temperate_grasslands_savannas_and_shrublands#habitat
Great_Bustard#species	wo:growsIn	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
Great_Bustard#species	wo:kingdom	Animal#kingdom
Great_Bustard#species	wo:livesIn	Arable_land#habitat
Great_Bustard#species	wo:livesIn	Temperate_grasslands_savannas_and_shrublands#habitat
Great_Bustard#species	wo:livesIn	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
Great_Bustard#species	wo:name	Great_Bustard#name
Great_Bustard#species	wo:order	Gruiformes#order
Great_Bustard#species	wo:phylum	Chordate#phylum
Great_Crested_Grebe#species	rdf:type	wo:Species
Great_Crested_Grebe#species	wo:genus	Podiceps#genus
Great_Crested_Grebe#species	rdf:type	wo:Species
Great_Crested_Grebe#species	wo:adaptation	Altricial#adaptation
Great_Crested_Grebe#species	wo:adaptation	Animal_cognition#adaptation
Great_Crested_Grebe#species	wo:adaptation	Aquatic_locomotion#adaptation
Great_Crested_Grebe#species	wo:adaptation	Carnivore#adaptation
Great_Crested_Grebe#species	wo:adaptation	Courtship_display#adaptation
Great_Crested_Grebe#species	wo:adaptation	Flight#adaptation
Great_Crested_Grebe#species	wo:adaptation	Monogamous_pairing_in_animals#adaptation
Great_Crested_Grebe#species	wo:adaptation	Oviparity#adaptation
Great_Crested_Grebe#species	wo:adaptation	Parental_investment#adaptation
Great_Crested_Grebe#species	wo:class	Bird#class
Great_Crested_Grebe#species	wo:ecozone	Palearctic_ecozone#ecozone
Great_Crested_Grebe#species	wo:family	Grebe#family
Great_Crested_Grebe#species	wo:genus	Podiceps#genus
Great_Crested_Grebe#species	wo:growsIn	Coast#habitat
Great_Crested_Grebe#species	wo:growsIn	Estuary#habitat
Great_Crested_Grebe#species	wo:growsIn	Lake#habitat
Great_Crested_Grebe#species	wo:kingdom	Animal#kingdom
Great_Crested_Grebe#species	wo:livesIn	Coast#habitat
Great_Crested_Grebe#species	wo:livesIn	Estuary#habitat
Great_Crested_Grebe#species	wo:livesIn	Lake#habitat
Great_Crested_Grebe#species	wo:name	Great_Crested_Grebe#name
Great_Crested_Grebe#species	wo:order	Podicipediformes#order
Great_Crested_Grebe#species	wo:phylum	Chordate#phylum
Great_Crested_Newt#species	rdf:type	wo:Species
Great_Crested_Newt#species	wo:family	Salamandridae#family
Great_Crested_Newt#species	rdf:type	wo:Species
Great_Crested_Newt#species	wo:adaptation	Animal_migration#adaptation
Great_Crested_Newt#species	wo:adaptation	Aquatic_locomotion#adaptation
Great_Crested_Newt#species	wo:adaptation	Camouflage#adaptation
Great_Crested_Newt#species	wo:adaptation	Carnivore#adaptation
Great_Crested_Newt#species	wo:adaptation	Courtship_display#adaptation
Great_Crested_Newt#species	wo:adaptation	Metamorphosis#adaptation
Great_Crested_Newt#species	wo:adaptation	Nocturnality#adaptation
Great_Crested_Newt#species	wo:adaptation	Oviparity#adaptation
Great_Crested_Newt#species	wo:adaptation	Precocial#adaptation
Great_Crested_Newt#species	wo:adaptation	Predation#adaptation
Great_Crested_Newt#species	wo:adaptation	Semiochemical#adaptation
Great_Crested_Newt#species	wo:adaptation	Visual_perception#adaptation
Great_Crested_Newt#species	wo:class	Amphibian#class
Great_Crested_Newt#species	wo:ecozone	Palearctic_ecozone#ecozone
Great_Crested_Newt#species	wo:family	Salamandridae#family
Great_Crested_Newt#species	wo:genus	Triturus#genus
Great_Crested_Newt#species	wo:growsIn	Arable_land#habitat
Great_Crested_Newt#species	wo:growsIn	Brownfield_land#habitat
Great_Crested_Newt#species	wo:growsIn	Lake#habitat
Great_Crested_Newt#species	wo:growsIn	Park#habitat
Great_Crested_Newt#species	wo:growsIn	Taiga#habitat
Great_Crested_Newt#species	wo:growsIn	Temperate_broadleaf_and_mixed_forests#habitat
Great_Crested_Newt#species	wo:growsIn	Temperate_coniferous_forest#habitat
Great_Crested_Newt#species	wo:growsIn	Temperate_grasslands_savannas_and_shrublands#habitat
Great_Crested_Newt#species	wo:growsIn	Tundra#habitat
Great_Crested_Newt#species	wo:growsIn	Urban_ecosystem#habitat
Great_Crested_Newt#species	wo:growsIn	Vernal_pool#habitat
Great_Crested_Newt#species	wo:growsIn	Wetland#habitat
Great_Crested_Newt#species	wo:kingdom	Animal#kingdom
Great_Crested_Newt#species	wo:livesIn	Arable_land#habitat
Great_Crested_Newt#species	wo:livesIn	Brownfield_land#habitat
Great_Crested_Newt#species	wo:livesIn	Lake#habitat
Great_Crested_Newt#species	wo:livesIn	Park#habitat
Great_Crested_Newt#species	wo:livesIn	Taiga#habitat
Great_Crested_Newt#species	wo:livesIn	Temperate_broadleaf_and_mixed_forests#habitat
Great_Crested_Newt#species	wo:livesIn	Temperate_coniferous_forest#habitat
Great_Crested_Newt#species	wo:livesIn	Temperate_grasslands_savannas_and_shrublands#habitat
Great_Crested_Newt#species	wo:livesIn	Tundra#habitat
Great_Crested_Newt#species	wo:livesIn	Urban_ecosystem#habitat
Great_Crested_Newt#species	wo:livesIn	Vernal_pool#habitat
Great_Crested_Newt#species	wo:livesIn	Wetland#habitat
Great_Crested_Newt#species	wo:name	Great_Crested_Newt#name
Great_Crested_Newt#species	wo:order	Salamander#order
Great_Crested_Newt#species	wo:phylum	Chordate#phylum
Great_diving_beetle#species	rdf:type	wo:Species
Great_diving_beetle#species	wo:order	Beetle#order
Great_diving_beetle#species	rdf:type	wo:Species
Great_diving_beetle#species	wo:adaptation	Antipredator_adaptation#adaptation
Great_diving_beetle#species	wo:adaptation	Aquatic_locomotion#adaptation
Great_diving_beetle#species	wo:adaptation	Carnivore#adaptation
Great_diving_beetle#species	wo:adaptation	Flight#adaptation
Great_diving_beetle#species	wo:adaptation	Hibernation#adaptation
Great_diving_beetle#species	wo:adaptation	Metamorphosis#adaptation
Great_diving_beetle#species	wo:adaptation	Oviparity#adaptation
Great_diving_beetle#species	wo:adaptation	Predation#adaptation
Great_diving_beetle#species	wo:adaptation	Sexual_dimorphism#adaptation
Great_diving_beetle#species	wo:class	Insect#class
Great_diving_beetle#species	wo:ecozone	Nearctic_ecozone#ecozone
Great_diving_beetle#species	wo:ecozone	Palearctic_ecozone#ecozone
Great_diving_beetle#species	wo:family	Dytiscidae#family
Great_diving_beetle#species	wo:genus	Dytiscus#genus
Great_diving_beetle#species	wo:growsIn	Lake#habitat
Great_diving_beetle#species	wo:growsIn	River#habitat
Great_diving_beetle#species	wo:growsIn	Tundra#habitat
Great_diving_beetle#species	wo:growsIn	Urban_ecosystem#habitat
Great_diving_beetle#species	wo:growsIn	Vernal_pool#habitat
Great_diving_beetle#species	wo:growsIn	Wetland#habitat
Great_diving_beetle#species	wo:kingdom	Animal#kingdom
Great_diving_beetle#species	wo:livesIn	Lake#habitat
Great_diving_beetle#species	wo:livesIn	River#habitat
Great_diving_beetle#species	wo:livesIn	Tundra#habitat
Great_diving_beetle#species	wo:livesIn	Urban_ecosystem#habitat
Great_diving_beetle#species	wo:livesIn	Vernal_pool#habitat
Great_diving_beetle#species	wo:livesIn	Wetland#habitat
Great_diving_beetle#species	wo:name	Great_diving_beetle#name
Great_diving_beetle#species	wo:order	Beetle#order
Great_diving_beetle#species	wo:phylum	Arthropod#phylum
Greater_Bulldog_Bat#species	rdf:type	wo:Species
Greater_Bulldog_Bat#species	wo:order	Bat#order
Greater_Bulldog_Bat#species	rdf:type	wo:Species
Greater_Bulldog_Bat#species	wo:adaptation	Carnivore#adaptation
Greater_Bulldog_Bat#species	wo:adaptation	Flight#adaptation
Greater_Bulldog_Bat#species	wo:adaptation	Nocturnality#adaptation
Greater_Bulldog_Bat#species	wo:adaptation	Presociality#adaptation
Greater_Bulldog_Bat#species	wo:adaptation	Sexual_dimorphism#adaptation
Greater_Bulldog_Bat#species	wo:adaptation	Ultrasound#adaptation
Greater_Bulldog_Bat#species	wo:adaptation	Vivipary#adaptation
Greater_Bulldog_Bat#species	wo:class	Mammal#class
Greater_Bulldog_Bat#species	wo:ecozone	Nearctic_ecozone#ecozone
Greater_Bulldog_Bat#species	wo:ecozone	Neotropic_ecozone#ecozone
Greater_Bulldog_Bat#species	wo:growsIn	Coast#habitat
Greater_Bulldog_Bat#species	wo:growsIn	River#habitat
Greater_Bulldog_Bat#species	wo:growsIn	Tropical_and_subtropical_moist_broadleaf_forests#habitat
Greater_Bulldog_Bat#species	wo:kingdom	Animal#kingdom
Greater_Bulldog_Bat#species	wo:livesIn	Coast#habitat
Greater_Bulldog_Bat#species	wo:livesIn	River#habitat
Greater_Bulldog_Bat#species	wo:livesIn	Tropical_and_subtropical_moist_broadleaf_forests#habitat
Greater_Bulldog_Bat#species	wo:name	Greater_Bulldog_Bat#name
Greater_Bulldog_Bat#species	wo:order	Bat#order
Greater_Bulldog_Bat#species	wo:phylum	Chordate#phylum
Greater_Flamingo#species	rdf:type	wo:Species
Greater_Flamingo#species	wo:genus	Flamingo#genus
Greater_Flamingo#species	rdf:type	wo:Species
Greater_Flamingo#species	wo:adaptation	Altricial#adaptation
Greater_Flamingo#species	wo:adaptation	Colony_biology#adaptation
Greater_Flamingo#species	wo:adaptation	Courtship_display#adaptation
Greater_Flamingo#species	wo:adaptation	Flight#adaptation
Greater_Flamingo#species	wo:adaptation	Halotolerance#adaptation
Greater_Flamingo#species	wo:adaptation	Hearing_sense#adaptation
Greater_Flamingo#species	wo:adaptation	Monogamous_pairing_in_animals#adaptation
Greater_Flamingo#species	wo:adaptation	Moulting#adaptation
Greater_Flamingo#species	wo:adaptation	Oviparity#adaptation
Greater_Flamingo#species	wo:adaptation	Parental_investment#adaptation
Greater_Flamingo#species	wo:adaptation	Presociality#adaptation
Greater_Flamingo#species	wo:adaptation	Visual_perception#adaptation
Greater_Flamingo#species	wo:class	Bird#class
Greater_Flamingo#species	wo:ecozone	Afrotropic_ecozone#ecozone
Greater_Flamingo#species	wo:ecozone	Indomalaya_ecozone#ecozone
Greater_Flamingo#species	wo:ecozone	Palearctic_ecozone#ecozone
Greater_Flamingo#species	wo:genus	Flamingo#genus
Greater_Flamingo#species	wo:growsIn	Coast#habitat
Greater_Flamingo#species	wo:growsIn	Estuary#habitat
Greater_Flamingo#species	wo:growsIn	Intertidal_zone#habitat
Greater_Flamingo#species	wo:growsIn	Lake#habitat
Greater_Flamingo#species	wo:growsIn	Wetland#habitat
Greater_Flamingo#species	wo:kingdom	Animal#kingdom
Greater_Flamingo#species	wo:livesIn	Coast#habitat
Greater_Flamingo#species	wo:livesIn	Estuary#habitat
Greater_Flamingo#species	wo:livesIn	Intertidal_zone#habitat
Greater_Flamingo#species	wo:livesIn	Lake#habitat
Greater_Flamingo#species	wo:livesIn	Wetland#habitat
Greater_Flamingo#species	wo:name	Greater_Flamingo#name
Greater_Flamingo#species	wo:phylum	Chordate#phylum
Great_Grey_Owl#species	rdf:type	wo:Species
Great_Grey_Owl#species	wo:genus	Strix_genus#genus
Great_Grey_Owl#species	rdf:type	wo:Species
Great_Grey_Owl#species	wo:adaptation	Allomothering#adaptation
Great_Grey_Owl#species	wo:adaptation	Altricial#adaptation
Great_Grey_Owl#species	wo:adaptation	Carnivore#adaptation
Great_Grey_Owl#species	wo:adaptation	Flight#adaptation
Great_Grey_Owl#species	wo:adaptation	Gliding_flight#adaptation
Great_Grey_Owl#species	wo:adaptation	Maternal_effect#adaptation
Great_Grey_Owl#species	wo:adaptation	Moulting#adaptation
Great_Grey_Owl#species	wo:adaptation	Oviparity#adaptation
Great_Grey_Owl#species	wo:adaptation	Predation#adaptation
Great_Grey_Owl#species	wo:adaptation	Territory_animal#adaptation
Great_Grey_Owl#species	wo:class	Bird#class
Great_Grey_Owl#species	wo:ecozone	Nearctic_ecozone#ecozone
Great_Grey_Owl#species	wo:ecozone	Palearctic_ecozone#ecozone
Great_Grey_Owl#species	wo:family	True_owl#family
Great_Grey_Owl#species	wo:genus	Strix_genus#genus
Great_Grey_Owl#species	wo:growsIn	Mountain#habitat
Great_Grey_Owl#species	wo:growsIn	Taiga#habitat
Great_Grey_Owl#species	wo:growsIn	Temperate_coniferous_forest#habitat
Great_Grey_Owl#species	wo:growsIn	Tundra#habitat
Great_Grey_Owl#species	wo:kingdom	Animal#kingdom
Great_Grey_Owl#species	wo:livesIn	Mountain#habitat
Great_Grey_Owl#species	wo:livesIn	Taiga#habitat
Great_Grey_Owl#species	wo:livesIn	Temperate_coniferous_forest#habitat
Great_Grey_Owl#species	wo:livesIn	Tundra#habitat
Great_Grey_Owl#species	wo:name	Great_Grey_Owl#name
Great_Grey_Owl#species	wo:order	Owl#order
Great_Grey_Owl#species	wo:phylum	Chordate#phylum
Great_Northern_Loon#species	rdf:type	wo:Species
Great_Northern_Loon#species	wo:genus	Loon#genus
Great_Northern_Loon#species	wo:adaptation	Aquatic_locomotion#adaptation
Great_Northern_Loon#species	wo:adaptation	Carnivore#adaptation
Great_Northern_Loon#species	wo:adaptation	Flight#adaptation
Great_Northern_Loon#species	wo:adaptation	Monogamous_pairing_in_animals#adaptation
Great_Northern_Loon#species	wo:adaptation	Oviparity#adaptation
Great_Northern_Loon#species	wo:adaptation	Precocial#adaptation
Great_Northern_Loon#species	wo:adaptation	Territory_animal#adaptation
Great_Northern_Loon#species	wo:class	Bird#class
Great_Northern_Loon#species	wo:ecozone	Nearctic_ecozone#ecozone
Great_Northern_Loon#species	wo:ecozone	Palearctic_ecozone#ecozone
Great_Northern_Loon#species	wo:genus	Loon#genus
Great_Northern_Loon#species	wo:growsIn	Brackish#habitat
Great_Northern_Loon#species	wo:growsIn	Coast#habitat
Great_Northern_Loon#species	wo:growsIn	Lake#habitat
Great_Northern_Loon#species	wo:growsIn	River#habitat
Great_Northern_Loon#species	wo:kingdom	Animal#kingdom
Great_Northern_Loon#species	wo:livesIn	Brackish#habitat
Great_Northern_Loon#species	wo:livesIn	Coast#habitat
Great_Northern_Loon#species	wo:livesIn	Lake#habitat
Great_Northern_Loon#species	wo:livesIn	Marsh#habitat
Great_Northern_Loon#species	wo:livesIn	River#habitat
Great_Northern_Loon#species	wo:name	Great_Northern_Loon#name
Great_Northern_Loon#species	wo:phylum	Chordate#phylum
Great_Spotted_Woodpecker#species	rdf:type	wo:Species
Great_Spotted_Woodpecker#species	wo:family	Woodpecker#family
Great_Spotted_Woodpecker#species	rdf:type	wo:Species
Great_Spotted_Woodpecker#species	wo:adaptation	Arboreal_locomotion#adaptation
Great_Spotted_Woodpecker#species	wo:adaptation	Courtship_display#adaptation
Great_Spotted_Woodpecker#species	wo:adaptation	Flight#adaptation
Great_Spotted_Woodpecker#species	wo:adaptation	Hearing_sense#adaptation
Great_Spotted_Woodpecker#species	wo:adaptation	Monogamous_pairing_in_animals#adaptation
Great_Spotted_Woodpecker#species	wo:adaptation	Moulting#adaptation
Great_Spotted_Woodpecker#species	wo:adaptation	Oviparity#adaptation
Great_Spotted_Woodpecker#species	wo:adaptation	Parental_investment#adaptation
Great_Spotted_Woodpecker#species	wo:adaptation	Territory_animal#adaptation
Great_Spotted_Woodpecker#species	wo:class	Bird#class
Great_Spotted_Woodpecker#species	wo:ecozone	Indomalaya_ecozone#ecozone
Great_Spotted_Woodpecker#species	wo:ecozone	Palearctic_ecozone#ecozone
Great_Spotted_Woodpecker#species	wo:family	Woodpecker#family
Great_Spotted_Woodpecker#species	wo:genus	Dendrocopos#genus
Great_Spotted_Woodpecker#species	wo:growsIn	Ancient_woodland#habitat
Great_Spotted_Woodpecker#species	wo:growsIn	English_Lowlands_beech_forests#habitat
Great_Spotted_Woodpecker#species	wo:growsIn	Mediterranean_forests_woodlands_and_scrub#habitat
Great_Spotted_Woodpecker#species	wo:growsIn	Taiga#habitat
Great_Spotted_Woodpecker#species	wo:growsIn	Temperate_broadleaf_and_mixed_forests#habitat
Great_Spotted_Woodpecker#species	wo:growsIn	Temperate_coniferous_forest#habitat
Great_Spotted_Woodpecker#species	wo:growsIn	Tropical_and_subtropical_coniferous_forests#habitat
Great_Spotted_Woodpecker#species	wo:kingdom	Animal#kingdom
Great_Spotted_Woodpecker#species	wo:livesIn	Ancient_woodland#habitat
Great_Spotted_Woodpecker#species	wo:livesIn	English_Lowlands_beech_forests#habitat
Great_Spotted_Woodpecker#species	wo:livesIn	Mediterranean_forests_woodlands_and_scrub#habitat
Great_Spotted_Woodpecker#species	wo:livesIn	Taiga#habitat
Great_Spotted_Woodpecker#species	wo:livesIn	Temperate_broadleaf_and_mixed_forests#habitat
Great_Spotted_Woodpecker#species	wo:livesIn	Temperate_coniferous_forest#habitat
Great_Spotted_Woodpecker#species	wo:livesIn	Tropical_and_subtropical_coniferous_forests#habitat
Great_Spotted_Woodpecker#species	wo:name	Great_Spotted_Woodpecker#name
Great_Spotted_Woodpecker#species	wo:order	Piciformes#order
Great_Spotted_Woodpecker#species	wo:phylum	Chordate#phylum
Great_Tit#species	rdf:type	wo:Species
Great_Tit#species	wo:family	Tit_bird#family
Great_Tit#species	rdf:type	wo:Species
Great_Tit#species	wo:adaptation	Altricial#adaptation
Great_Tit#species	wo:adaptation	Animal_cognition#adaptation
Great_Tit#species	wo:adaptation	Flight#adaptation
Great_Tit#species	wo:adaptation	Hearing_sense#adaptation
Great_Tit#species	wo:adaptation	Monogamous_pairing_in_animals#adaptation
Great_Tit#species	wo:adaptation	Moulting#adaptation
Great_Tit#species	wo:adaptation	Oviparity#adaptation
Great_Tit#species	wo:adaptation	Parental_investment#adaptation
Great_Tit#species	wo:adaptation	Presociality#adaptation
Great_Tit#species	wo:adaptation	Territory_animal#adaptation
Great_Tit#species	wo:adaptation	Visual_perception#adaptation
Great_Tit#species	wo:class	Bird#class
Great_Tit#species	wo:ecozone	Palearctic_ecozone#ecozone
Great_Tit#species	wo:family	Tit_bird#family
Great_Tit#species	wo:genus	Parus#genus
Great_Tit#species	wo:growsIn	Ancient_woodland#habitat
Great_Tit#species	wo:growsIn	Arable_land#habitat
Great_Tit#species	wo:growsIn	Brownfield_land#habitat
Great_Tit#species	wo:growsIn	Coast#habitat
Great_Tit#species	wo:growsIn	English_Lowlands_beech_forests#habitat
Great_Tit#species	wo:growsIn	Estuary#habitat
Great_Tit#species	wo:growsIn	Heath_habitat#habitat
Great_Tit#species	wo:growsIn	hedge#habitat
Great_Tit#species	wo:growsIn	Meadow#habitat
Great_Tit#species	wo:growsIn	Mediterranean_forests_woodlands_and_scrub#habitat
Great_Tit#species	wo:growsIn	Moorland#habitat
Great_Tit#species	wo:growsIn	Park#habitat
Great_Tit#species	wo:growsIn	Temperate_broadleaf_and_mixed_forests#habitat
Great_Tit#species	wo:growsIn	Temperate_coniferous_forest#habitat
Great_Tit#species	wo:growsIn	Temperate_grasslands_savannas_and_shrublands#habitat
Great_Tit#species	wo:growsIn	Urban_ecosystem#habitat
Great_Tit#species	wo:growsIn	Wetland#habitat
Great_Tit#species	wo:kingdom	Animal#kingdom
Great_Tit#species	wo:livesIn	Ancient_woodland#habitat
Great_Tit#species	wo:livesIn	Arable_land#habitat
Great_Tit#species	wo:livesIn	Brownfield_land#habitat
Great_Tit#species	wo:livesIn	Coast#habitat
Great_Tit#species	wo:livesIn	English_Lowlands_beech_forests#habitat
Great_Tit#species	wo:livesIn	Estuary#habitat
Great_Tit#species	wo:livesIn	Heath_habitat#habitat
Great_Tit#species	wo:livesIn	hedge#habitat
Great_Tit#species	wo:livesIn	Meadow#habitat
Great_Tit#species	wo:livesIn	Mediterranean_forests_woodlands_and_scrub#habitat
Great_Tit#species	wo:livesIn	Moorland#habitat
Great_Tit#species	wo:livesIn	Park#habitat
Great_Tit#species	wo:livesIn	Temperate_broadleaf_and_mixed_forests#habitat
