concept	lang	token	priority	head_lemma	parts
Indomalaya_ecozone#ecozone	en	Indo-Malay	0	Malay PROPN	indo X compound> Malay PROPN | - PUNCT punct> Malay PROPN
Nearctic_ecozone#ecozone	en	Nearctic	0	Nearctic PROPN	
Neotropic_ecozone#ecozone	en	Neotropical	0	Neotropical ADJ	
Oceania_ecozone#ecozone	en	Oceania	0	Oceania PROPN	
Palearctic_ecozone#ecozone	en	Palaearctic	0	Palaearctic PROPN	
Palearctic_ecozone#ecozone	en	Palearctic	0	Palearctic PROPN	
Elephantidae#family	en	Elephantidae	0	Elephantidae PROPN	
Elephantidae#family	en	Elephants	0	elephants PROPN	
Elephantidae#family	en	Elephantidae	1	Elephantidae PROPN	
Elephantidae#family	en	Elephants	2	elephants PROPN	
African_elephant#genus	en	Loxodonta	0	Loxodonta PROPN	
African_elephant#genus	en	African elephants	0	elephant NOUN	african ADJ amod> elephant NOUN
African_elephant#genus	en	Loxodonta	1	Loxodonta PROPN	
African_elephant#genus	en	African elephants	2	elephant NOUN	african ADJ amod> elephant NOUN
African_elephant#genus	en	Elephant	2	elephant PROPN	
Deserts_and_xeric_shrublands#habitat	en	Desert	0	desert NOUN	
Flooded_grasslands_and_savannas#habitat	en	Flooded grassland	0	grassland NOUN	flooded VERB amod> grassland NOUN
Marsh#habitat	en	Marsh	0	Marsh PROPN	
Mediterranean_forests_woodlands_and_scrub#habitat	en	Mediterranean forest	0	forest NOUN	Mediterranean ADJ amod> forest NOUN
Montane_grasslands_and_shrublands#habitat	en	Mountain grassland	0	grassland NOUN	mountain NOUN compound> grassland NOUN
Swamp#habitat	en	Swamp	0	Swamp NOUN	
Tropical_and_subtropical_dry_broadleaf_forests#habitat	en	Tropical dry forest	0	forest NOUN	tropical ADJ amod> dry NOUN | dry NOUN compound> forest NOUN
Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat	en	Tropical grassland	0	grassland NOUN	tropical ADJ amod> grassland NOUN
Tropical_and_subtropical_moist_broadleaf_forests#habitat	en	Rainforest	0	Rainforest PROPN	
Animal#kingdom	en	animalia	0	animalia NOUN	
Animal#kingdom	en	Animals	0	animal NOUN	
Animal#kingdom	en	animalia	1	animalia NOUN	
Animal#kingdom	en	Animalia	2	Animalia PROPN	
Animal#kingdom	en	Animals	2	animal NOUN	
Animal#kingdom	en	Metazoa	2	Metazoa PROPN	
African_Bush_Elephant#species	en	African bush elephant	0	elephant NOUN	african ADJ amod> bush NOUN | bush NOUN compound> elephant NOUN
African_Bush_Elephant#species	en	Loxodonta africana	1	africana NOUN	Loxodonta PROPN compound> africana NOUN
African_Bush_Elephant#species	en	African bush elephant	2	elephant NOUN	african ADJ amod> bush NOUN | bush NOUN compound> elephant NOUN
African_Bush_Elephant#species	en	Elephant	2	elephant PROPN	
Amazonian_Manatee#species	en	Amazonian manatee	0	manatee NOUN	Amazonian ADJ amod> manatee NOUN
Amazonian_Manatee#species	en	Trichechus inunguis	1	inunguis NOUN	Trichechus NOUN compound> inunguis NOUN
Amazonian_Manatee#species	en	Amazonian manatee	2	manatee NOUN	Amazonian ADJ amod> manatee NOUN
Amazonian_Manatee#species	en	South American manatee	2	manatee NOUN	south ADJ amod> manatee NOUN | american ADJ amod> manatee NOUN
American_crocodile#species	en	American crocodile	0	crocodile NOUN	american ADJ amod> crocodile NOUN
American_crocodile#species	en	Crocodylus acutus	1	acutus NOUN	Crocodylus PROPN compound> acutus NOUN
American_crocodile#species	en	American crocodile	2	crocodile NOUN	american ADJ amod> crocodile NOUN
American_crocodile#species	en	Sharp-snouted alligator	2	alligator NOUN	sharp PROPN obl:npmod> snoute VERB | - PUNCT punct> snoute VERB | snoute VERB amod> alligator NOUN
American_Mink#species	en	American mink	0	mink NOUN	american ADJ amod> mink NOUN
American_Mink#species	en	Neovison vison	1	vison NOUN	Neovison PROPN compound> vison NOUN
American_Mink#species	en	American mink	2	mink NOUN	american ADJ amod> mink NOUN
American_Mink#species	en	Mink	2	Mink PROPN	
Barn_Owl#species	en	Barn owl	0	owl NOUN	barn NOUN compound> owl NOUN
Barn_Owl#species	en	Tyto alba	1	alba NOUN	Tyto PROPN compound> alba NOUN
Barn_Owl#species	en	Barn owl	2	owl NOUN	barn NOUN compound> owl NOUN
Barn_Owl#species	en	Common barn owl	2	owl NOUN	common ADJ amod> owl NOUN | barn NOUN compound> owl NOUN
Barn_Owl#species	en	Screech owl	2	owl NOUN	Screech NOUN compound> owl NOUN
Barn_Owl#species	en	White owl	2	owl NOUN	white PROPN compound> owl NOUN
Bearded_Reedling#species	en	Bearded tit	0	tit NOUN	bearded ADJ amod> tit NOUN
Bearded_Reedling#species	en	Panurus biarmicus	1	biarmicus NOUN	Panurus PROPN compound> biarmicus NOUN
Bearded_Reedling#species	en	Bearded parrotbill	2	parrotbill NOUN	bearded ADJ amod> parrotbill NOUN
Bearded_Reedling#species	en	Bearded reedling 	2	reedling NOUN	bearded ADJ amod> reedling NOUN
Bearded_Reedling#species	en	Bearded tit	2	tit NOUN	bearded ADJ amod> tit NOUN
Bombus_terrestris#species	en	Buff-tailed bumblebee	0	bumblebee NOUN	Buff NOUN obl:npmod> taile VERB | - PUNCT punct> taile VERB | taile VERB amod> bumblebee NOUN
Bombus_terrestris#species	en	Bombus terrestris	1	terrestris NOUN	Bombus PROPN compound> terrestris NOUN
Bombus_terrestris#species	en	Buff-tailed bumblebee	2	bumblebee NOUN	Buff NOUN obl:npmod> taile VERB | - PUNCT punct> taile VERB | taile VERB amod> bumblebee NOUN
Bombus_terrestris#species	en	Large earth bumblebee	2	bumblebee NOUN	large ADJ amod> earth NOUN | earth NOUN compound> bumblebee NOUN
Brown_rat#species	en	Brown rat	0	rat NOUN	Brown PROPN compound> rat NOUN
Brown_rat#species	en	Rattus norvegicus	1	norvegicus NOUN	Rattus PROPN compound> norvegicus NOUN
Brown_rat#species	en	Brown Norway rat	2	rat NOUN	Brown PROPN compound> Norway PROPN | Norway PROPN compound> rat NOUN
Brown_rat#species	en	Brown rat	2	rat NOUN	Brown PROPN compound> rat NOUN
Brown_rat#species	en	Common rat	2	rat NOUN	common NOUN compound> rat NOUN
Brown_rat#species	en	Hanover rat	2	rat NOUN	Hanover NOUN compound> rat NOUN
Brown_rat#species	en	Norway rat	2	rat NOUN	Norway PROPN compound> rat NOUN
Brown_rat#species	en	Norwegian rat	2	rat NOUN	norwegian ADJ amod> rat NOUN
Brown_rat#species	en	Sewer rat	2	rat NOUN	Sewer NOUN compound> rat NOUN
Brown_rat#species	en	Wharf rat	2	rat NOUN	Wharf NOUN compound> rat NOUN
Buff-necked_Ibis#species	en	Buff-necked ibis	0	ibis NOUN	Buff NOUN obl:npmod> neck VERB | - PUNCT punct> neck VERB | neck VERB amod> ibis NOUN
Buff-necked_Ibis#species	en	Theristicus caudatus	1	caudatus NOUN	Theristicus PROPN compound> caudatus NOUN
Buff-necked_Ibis#species	en	Buff-necked ibis	2	ibis NOUN	Buff NOUN obl:npmod> neck VERB | - PUNCT punct> neck VERB | neck VERB amod> ibis NOUN
Buff-necked_Ibis#species	en	White-throated ibis	2	ibis NOUN	White PROPN obl:npmod> throat VERB | - PUNCT punct> throat VERB | throat VERB amod> ibis NOUN
Capybara#species	en	Capybara	0	Capybara PROPN	
Capybara#species	en	Hydrochoerus hydrochaeris	1	hydrochaeris NOUN	Hydrochoerus ADJ amod> hydrochaeris NOUN
Capybara#species	en	Capybara	2	Capybara PROPN	
Common_Crane#species	en	Common crane	0	crane NOUN	common ADJ amod> crane NOUN
Common_Crane#species	en	Grus grus	1	grus NOUN	Grus PROPN compound> grus NOUN
Common_Crane#species	en	Common crane	2	crane NOUN	common ADJ amod> crane NOUN
Common_Crane#species	en	Eurasian crane	2	crane NOUN	Eurasian ADJ amod> crane NOUN
Common_Cuckoo#species	en	Common cuckoo	0	cuckoo NOUN	common ADJ amod> cuckoo NOUN
Common_Cuckoo#species	en	Cuculus canorus	1	canorus NOUN	Cuculus NOUN compound> canorus NOUN
Common_Cuckoo#species	en	Common cuckoo	2	cuckoo NOUN	common ADJ amod> cuckoo NOUN
Common_Cuckoo#species	en	Eurasian cuckoo	2	cuckoo NOUN	Eurasian ADJ amod> cuckoo NOUN
Common_Cuckoo#species	en	European cuckoo	2	cuckoo NOUN	european ADJ amod> cuckoo NOUN
Common_frog#species	en	Common frog	0	frog NOUN	common ADJ amod> frog NOUN
Common_frog#species	en	Rana temporaria	1	temporaria NOUN	Rana PROPN compound> temporaria NOUN
Common_frog#species	en	Brown frog	2	frog NOUN	Brown PROPN compound> frog NOUN
Common_frog#species	en	Common frog	2	frog NOUN	common ADJ amod> frog NOUN
Common_frog#species	en	European common brown frog	2	frog NOUN	european ADJ amod> frog NOUN | common ADJ amod> frog NOUN | brown ADJ amod> frog NOUN
Common_frog#species	en	European common frog	2	frog NOUN	european ADJ amod> frog NOUN | common ADJ amod> frog NOUN
Common_frog#species	en	Grass frog	2	frog NOUN	grass NOUN compound> frog NOUN
Common_Kestrel#species	en	Kestrel	0	Kestrel PROPN	
Common_Kestrel#species	en	Falco tinnunculus	1	tinnunculus NOUN	Falco PROPN compound> tinnunculus NOUN
Common_Kestrel#species	en	Kestrel	2	Kestrel PROPN	
Common_Moorhen#species	en	Common moorhen	0	moorhen NOUN	common ADJ amod> moorhen NOUN
Common_Moorhen#species	en	Gallinula chloropus	1	chloropus NOUN	Gallinula PROPN compound> chloropus NOUN
Common_Moorhen#species	en	Common moorhen	2	moorhen NOUN	common ADJ amod> moorhen NOUN
Common_Moorhen#species	en	Common waterhen	2	waterhen NOUN	common ADJ amod> waterhen NOUN
Common_Pheasant#species	en	Pheasant	0	Pheasant NOUN	
Common_Pheasant#species	en	Phasianus colchicus	1	colchicus NOUN	Phasianus NOUN compound> colchicus NOUN
Common_Pheasant#species	en	Common pheasant	2	pheasant NOUN	common ADJ amod> pheasant NOUN
Common_Pheasant#species	en	Pheasant	2	Pheasant NOUN	
Common_Ringed_Plover#species	en	Common ringed plover	0	ring VERB	common PROPN nsubj> ring VERB | plover NOUN obj> ring VERB
Common_Ringed_Plover#species	en	Charadrius hiaticula	1	hiaticula NOUN	Charadrius PROPN compound> hiaticula NOUN
Common_Ringed_Plover#species	en	Common ringed plover	2	ring VERB	common PROPN nsubj> ring VERB | plover NOUN obj> ring VERB
Common_Toad#species	en	Common toad	0	toad NOUN	common ADJ amod> toad NOUN
Common_Toad#species	en	Bufo bufo	1	bufo NOUN	Bufo PROPN compound> bufo NOUN
Common_Toad#species	en	Bufo_bufo_gargarizans	2	Bufo_bufo_gargarizans PROPN	
Common_Toad#species	en	Common toad	2	toad NOUN	common ADJ amod> toad NOUN
Common_Toad#species	en	European toad	2	toad NOUN	european ADJ amod> toad NOUN
Cougar#species	en	Puma	0	Puma NOUN	
Cougar#species	en	Puma concolor	1	concolor NOUN	Puma PROPN compound> concolor NOUN
Cougar#species	en	Catamount	2	Catamount NOUN	
Cougar#species	en	Cougar	2	Cougar NOUN	
Cougar#species	en	Florida panther	2	panther NOUN	Florida PROPN compound> panther NOUN
Cougar#species	en	Mountain lion	2	lion NOUN	mountain NOUN compound> lion NOUN
Cougar#species	en	Puma	2	Puma NOUN	
Cougar#species	en	Red tiger	2	tiger NOUN	Red NOUN compound> tiger NOUN
Eleonoras_Falcon#species	en	Eleonoras falcon	0	falcon NOUN	Eleonoras PROPN compound> falcon NOUN
Eleonoras_Falcon#species	en	Falco eleonorae	1	eleonora NOUN	Falco PROPN compound> eleonora NOUN
Eleonoras_Falcon#species	en	Eleonoras falcon	2	falcon NOUN	Eleonoras PROPN compound> falcon NOUN
Eunectes_notaeus#species	en	Yellow anaconda	0	anaconda NOUN	yellow ADJ amod> anaconda NOUN
Eunectes_notaeus#species	en	Eunectes notaeus	1	notaeus NOUN	Eunectes PROPN compound> notaeus NOUN
Eunectes_notaeus#species	en	Paraguayan anaconda	2	anaconda PROPN	Paraguayan PROPN compound> anaconda PROPN
Eunectes_notaeus#species	en	Yellow anaconda	2	anaconda NOUN	yellow ADJ amod> anaconda NOUN
Eurasian_Beaver#species	en	European beaver	0	beaver NOUN	european ADJ amod> beaver NOUN
Eurasian_Beaver#species	en	Castor fiber	1	fiber NOUN	Castor NOUN compound> fiber NOUN
Eurasian_Beaver#species	en	Eurasian beaver	2	beaver NOUN	Eurasian ADJ amod> beaver NOUN
Eurasian_Beaver#species	en	European beaver	2	beaver NOUN	european ADJ amod> beaver NOUN
Eurasian_Coot#species	en	Coot	0	Coot NOUN	
Eurasian_Coot#species	en	Fulica atra	1	atra NOUN	Fulica PROPN compound> atra NOUN
Eurasian_Coot#species	en	Australian coot	2	coot NOUN	australian ADJ amod> coot NOUN
Eurasian_Coot#species	en	bald coot	2	coot NOUN	bald ADJ amod> coot NOUN
Eurasian_Coot#species	en	Common coot	2	coot NOUN	common ADJ amod> coot NOUN
Eurasian_Coot#species	en	Coot	2	Coot NOUN	
Eurasian_Coot#species	en	Eurasian coot	2	coot NOUN	Eurasian ADJ amod> coot NOUN
Eurasian_Coot#species	en	white-faced diver	2	diver NOUN	white ADJ amod> faced ADJ | - PUNCT punct> faced ADJ | faced ADJ amod> diver NOUN
Eurasian_Reed_Warbler#species	en	Reed warbler	0	warbler NOUN	Reed ADJ amod> warbler NOUN
Eurasian_Reed_Warbler#species	en	Acrocephalus scirpaceus	1	scirpaceus NOUN	Acrocephalus PROPN compound> scirpaceus NOUN
Eurasian_Reed_Warbler#species	en	Eurasian reed warbler	2	warbler NOUN	Eurasian ADJ amod> warbler NOUN | ree NOUN compound> warbler NOUN
Eurasian_Reed_Warbler#species	en	European reed warbler	2	ree VERB	european PROPN nsubj> ree VERB | warbler NOUN obj> ree VERB
Eurasian_Reed_Warbler#species	en	Reed warbler	2	warbler NOUN	Reed ADJ amod> warbler NOUN
European_Polecat#species	en	Polecat	0	Polecat NOUN	
European_Polecat#species	en	Mustela putorius	1	putorius NOUN	Mustela PROPN compound> putorius NOUN
European_Polecat#species	en	Polecat	2	Polecat NOUN	
Fallow_Deer#species	en	Fallow deer	0	deer NOUN	Fallow ADJ amod> deer NOUN
Fallow_Deer#species	en	Dama dama	1	dama NOUN	Dama PROPN compound> dama NOUN
Fallow_Deer#species	en	Fallow deer	2	deer NOUN	Fallow ADJ amod> deer NOUN
Giant_Otter#species	en	Giant river otter	0	otter NOUN	giant PROPN compound> river NOUN | river NOUN compound> otter NOUN
Giant_Otter#species	en	Pteronura brasiliensis	1	brasiliensis NOUN	Pteronura PROPN compound> brasiliensis NOUN
Giant_Otter#species	en	Giant river otter	2	otter NOUN	giant PROPN compound> river NOUN | river NOUN compound> otter NOUN
Golden_Eagle#species	en	Golden eagle	0	eagle NOUN	golden NOUN compound> eagle NOUN
Golden_Eagle#species	en	Aquila chrysaetos	1	chrysaeto PROPN	Aquila PROPN compound> chrysaeto PROPN
Golden_Eagle#species	en	Golden eagle	2	eagle NOUN	golden NOUN compound> eagle NOUN
Grasshopper_Warbler#species	en	Grasshopper warbler	0	warbler NOUN	Grasshopper PROPN compound> warbler NOUN
Grasshopper_Warbler#species	en	Locustella naevia	1	naevia NOUN	Locustella PROPN compound> naevia NOUN
Grasshopper_Warbler#species	en	Grasshopper warbler	2	warbler NOUN	Grasshopper PROPN compound> warbler NOUN
Grass_Snake#species	en	Grass snake	0	snake NOUN	grass NOUN compound> snake NOUN
Grass_Snake#species	en	Natrix natrix	1	natrix NOUN	Natrix PROPN compound> natrix NOUN
Grass_Snake#species	en	Grass snake	2	snake NOUN	grass NOUN compound> snake NOUN
Grass_Snake#species	en	Ringed snake	2	snake NOUN	Ringed PROPN compound> snake NOUN
Grass_Snake#species	en	Water snake	2	snake NOUN	Water PROPN compound> snake NOUN
Great_Northern_Loon#species	en	Great northern diver	0	diver NOUN	Great ADJ amod> diver NOUN | northern ADJ amod> diver NOUN
Great_Northern_Loon#species	en	Gavia immer	1	immer NOUN	Gavia PROPN compound> immer NOUN
Great_Northern_Loon#species	en	Common loon	2	loon NOUN	common ADJ amod> loon NOUN
Great_Northern_Loon#species	en	Great northern diver	2	diver NOUN	Great ADJ amod> diver NOUN | northern ADJ amod> diver NOUN
Great_Northern_Loon#species	en	Great northern loon	2	loon NOUN	Great ADJ amod> loon NOUN | northern ADJ amod> loon NOUN
Harriss_Hawk#species	en	Harris hawk	0	hawk NOUN	Harris PROPN compound> hawk NOUN
Harriss_Hawk#species	en	Parabuteo unicinctus	1	unicinctus NOUN	Parabuteo NOUN compound> unicinctus NOUN
Harriss_Hawk#species	en	Bay-winged hawk	2	hawk NOUN	Bay PROPN compound> win VERB | - PUNCT punct> win VERB | win VERB amod> hawk NOUN
Harriss_Hawk#species	en	Dusky hawk	2	hawk NOUN	Dusky PROPN compound> hawk NOUN
Harriss_Hawk#species	en	Harris hawk	2	hawk NOUN	Harris PROPN compound> hawk NOUN
Harriss_Hawk#species	en	Harriss hawk	2	hawk NOUN	Harriss PROPN compound> hawk NOUN
Hen_Harrier#species	en	Hen harrier	0	harrier NOUN	
Hen_Harrier#species	en	Circus cyaneus	1	cyaneus NOUN	Circus PROPN compound> cyaneus NOUN
Hen_Harrier#species	en	Hen harrier	2	harrier NOUN	
Hen_Harrier#species	en	Northern harrier	2	harrier NOUN	Northern ADJ amod> harrier NOUN
Highland_midge#species	en	Highland midge	0	midge NOUN	Highland PROPN compound> midge NOUN
Highland_midge#species	en	Culicoides impunctatus	1	Culicoide NOUN	impunctatus X appos> Culicoide NOUN
Highland_midge#species	en	Highland biting midge	2	midge NOUN	Highland PROPN compound> midge NOUN | bite NOUN compound> midge NOUN
Highland_midge#species	en	Highland midge	2	midge NOUN	Highland PROPN compound> midge NOUN
Little_Egret#species	en	Little egret	0	egret NOUN	little PROPN compound> egret NOUN
Little_Egret#species	en	Egretta garzetta	1	garzetta NOUN	Egretta PROPN compound> garzetta NOUN
Little_Egret#species	en	Little egret	2	egret NOUN	little PROPN compound> egret NOUN
Little_Ringed_Plover#species	en	Little ringed plover	0	ring VERB	little PROPN nsubj> ring VERB | plover NOUN obj> ring VERB
Little_Ringed_Plover#species	en	Charadrius dubius	1	dubius NOUN	Charadrius PROPN compound> dubius NOUN
Little_Ringed_Plover#species	en	Little ringed plover	2	ring VERB	little PROPN nsubj> ring VERB | plover NOUN obj> ring VERB
Mallard#species	en	Mallard	0	Mallard PROPN	
Mallard#species	en	Anas platyrhynchos	1	platyrhyncho NOUN	Ana NOUN compound> platyrhyncho NOUN
Mallard#species	en	Mallard	2	Mallard PROPN	
Mallard#species	en	Wild duck	2	duck NOUN	wild ADJ amod> duck NOUN
Marsh_Frog#species	en	Marsh frog	0	frog NOUN	Marsh PROPN compound> frog NOUN
Marsh_Frog#species	en	Pelophylax ridibundus	1	ridibundus NOUN	Pelophylax NOUN compound> ridibundus NOUN
Marsh_Frog#species	en	Eurasian marsh frog	2	frog NOUN	Eurasian ADJ amod> frog NOUN | marsh NOUN compound> frog NOUN
Marsh_Frog#species	en	Lake frog	2	frog NOUN	Lake PROPN compound> frog NOUN
Marsh_Frog#species	en	Laughing frog	2	frog NOUN	laughing NOUN compound> frog NOUN
Marsh_Frog#species	en	Marsh frog	2	frog NOUN	Marsh PROPN compound> frog NOUN
Merlin_bird#species	en	Merlin	0	Merlin PROPN	
Merlin_bird#species	en	Falco columbarius	1	columbarius NOUN	Falco PROPN compound> columbarius NOUN
Merlin_bird#species	en	Merlin	2	Merlin PROPN	
Merlin_bird#species	en	Pigeon hawk	2	hawk NOUN	pigeon NOUN compound> hawk NOUN
Mute_Swan#species	en	Mute swan	0	swan NOUN	Mute PROPN compound> swan NOUN
Mute_Swan#species	en	Cygnus olor	1	olor NOUN	Cygnus PROPN compound> olor NOUN
Mute_Swan#species	en	Mute swan	2	swan NOUN	Mute PROPN compound> swan NOUN
Myodes_glareolus#species	en	Bank vole	0	vole NOUN	Bank PROPN compound> vole NOUN
Myodes_glareolus#species	en	Myodes glareolus	1	glareolus NOUN	Myodes PROPN compound> glareolus NOUN
Myodes_glareolus#species	en	Bank vole	2	vole NOUN	Bank PROPN compound> vole NOUN
Natterjack_Toad#species	en	Natterjack toad 	0	toad NOUN	Natterjack PROPN compound> toad NOUN
Natterjack_Toad#species	en	Epidalea calamita	1	calamita NOUN	Epidalea PROPN compound> calamita NOUN
Natterjack_Toad#species	en	Natterjack toad 	2	toad NOUN	Natterjack PROPN compound> toad NOUN
Natterjack_Toad#species	en	Running toad	2	toad NOUN	running PROPN compound> toad NOUN
Norfolk_Hawker#species	en	Norfolk hawker	0	hawker NOUN	Norfolk PROPN compound> hawker NOUN
Norfolk_Hawker#species	en	Aeshna isoceles	1	isocele NOUN	Aeshna PROPN compound> isocele NOUN
Norfolk_Hawker#species	en	Green-eyed hawker	2	hawker NOUN	Green NOUN compound> ey VERB | - PUNCT punct> ey VERB | ey VERB amod> hawker NOUN
Norfolk_Hawker#species	en	Norfolk hawker	2	hawker NOUN	Norfolk PROPN compound> hawker NOUN
North_American_River_Otter#species	en	North American river otter	0	otter NOUN	North PROPN compound> river NOUN | american ADJ amod> river NOUN | river NOUN compound> otter NOUN
North_American_River_Otter#species	en	Lontra canadensis	1	canadensis NOUN	Lontra PROPN compound> canadensis NOUN
North_American_River_Otter#species	en	Common otter	2	otter NOUN	common ADJ amod> otter NOUN
North_American_River_Otter#species	en	North American river otter	2	otter NOUN	North PROPN compound> river NOUN | american ADJ amod> river NOUN | river NOUN compound> otter NOUN
North_American_River_Otter#species	en	Northern river otter	2	otter NOUN	Northern ADJ amod> river NOUN | river NOUN compound> otter NOUN
Northern_Lapwing#species	en	Lapwing	0	Lapwing NOUN	
Northern_Lapwing#species	en	Vanellus vanellus	1	vanellus NOUN	Vanellus PROPN compound> vanellus NOUN
Northern_Lapwing#species	en	Green plover	2	plover NOUN	green ADJ amod> plover NOUN
Northern_Lapwing#species	en	Lapwing	2	Lapwing NOUN	
Northern_Lapwing#species	en	Northern lapwing	2	lapwing NOUN	Northern ADJ amod> lapwing NOUN
Northern_Lapwing#species	en	Peewit	2	Peewit NOUN	
Old_World_Swallowtail#species	en	Swallowtail	0	Swallowtail NOUN	
Old_World_Swallowtail#species	en	Papilio machaon	1	machaon NOUN	Papilio PROPN compound> machaon NOUN
Old_World_Swallowtail#species	en	Common yellow swallowtail	2	swallowtail NOUN	common ADJ amod> swallowtail NOUN | yellow ADJ amod> swallowtail NOUN
Old_World_Swallowtail#species	en	Old World swallowtail	2	swallowtail NOUN	old PROPN compound> world PROPN | world PROPN compound> swallowtail NOUN
Old_World_Swallowtail#species	en	Swallowtail	2	Swallowtail NOUN	
Osprey#species	en	Osprey	0	Osprey PROPN	
Osprey#species	en	Pandion haliaetus	1	haliaetus NOUN	Pandion NOUN compound> haliaetus NOUN
Osprey#species	en	Osprey	2	Osprey PROPN	
Python_molurus#species	en	Indian rock python	0	python NOUN	indian ADJ amod> python NOUN | rock NOUN compound> python NOUN
Python_molurus#species	en	Python molurus	1	molurus NOUN	python NOUN compound> molurus NOUN
Python_molurus#species	en	Asiatic rock python	2	python NOUN	Asiatic ADJ amod> python NOUN | rock NOUN compound> python NOUN
Python_molurus#species	en	Black-tailed python	2	python NOUN	black ADJ amod> taile ADJ | - PUNCT punct> taile ADJ | taile ADJ amod> python NOUN
Python_molurus#species	en	Burmese python	2	python NOUN	Burmese ADJ amod> python NOUN
Python_molurus#species	en	Indian python	2	python NOUN	indian ADJ amod> python NOUN
Python_molurus#species	en	Indian rock python	2	python NOUN	indian ADJ amod> python NOUN | rock NOUN compound> python NOUN
Raccoon#species	en	Raccoon	0	Raccoon PROPN	
Raccoon#species	en	Procyon lotor	1	lotor NOUN	Procyon PROPN compound> lotor NOUN
Raccoon#species	en	Common Raccoon	2	Raccoon PROPN	common PROPN compound> Raccoon PROPN
Raccoon#species	en	North American Raccoon	2	Raccoon PROPN	North PROPN compound> american PROPN | american PROPN compound> Raccoon PROPN
Raccoon#species	en	Northern Raccoon	2	Raccoon PROPN	Northern PROPN compound> Raccoon PROPN
Raccoon#species	en	Raccoon	2	Raccoon PROPN	
Red-crowned_Crane#species	en	Red-crowned crane	0	crane NOUN	Red-crowned ADJ amod> crane NOUN
Red-crowned_Crane#species	en	Grus japonensis	1	japonensis PROPN	Grus PROPN compound> japonensis PROPN
Red-crowned_Crane#species	en	Japanese crane	2	crane NOUN	japanese ADJ amod> crane NOUN
Red-crowned_Crane#species	en	Manchurian crane	2	crane NOUN	Manchurian ADJ amod> crane NOUN
Red-crowned_Crane#species	en	Red-crowned crane	2	crane NOUN	Red-crowned ADJ amod> crane NOUN
Sedge_Warbler#species	en	Sedge warbler	0	warbler NOUN	Sedge PROPN compound> warbler NOUN
Sedge_Warbler#species	en	Acrocephalus schoenobaenus	1	schoenobaenus NOUN	Acrocephalus PROPN compound> schoenobaenus NOUN
Sedge_Warbler#species	en	Sedge warbler	2	warbler NOUN	Sedge PROPN compound> warbler NOUN
Shoebill#species	en	Shoebill	0	Shoebill PROPN	
Shoebill#species	en	Balaeniceps rex	1	rex NOUN	Balaenicep PROPN compound> rex NOUN
Shoebill#species	en	Shoebill	2	Shoebill PROPN	
Shoebill#species	en	Whalehead	2	Whalehead PROPN	
Shoebill#species	en	Whale-headed stork	2	stork NOUN	Whale NOUN obl:npmod> head VERB | - PUNCT punct> head VERB | head VERB amod> stork NOUN
Siberian_Crane#species	en	Siberian crane	0	crane NOUN	Siberian ADJ amod> crane NOUN
Siberian_Crane#species	en	Grus leucogeranus	1	leucogeranus NOUN	Grus PROPN compound> leucogeranus NOUN
Siberian_Crane#species	en	Siberian crane	2	crane NOUN	Siberian ADJ amod> crane NOUN
Siberian_Crane#species	en	Siberian white crane	2	crane NOUN	Siberian ADJ amod> white ADJ | white ADJ amod> crane NOUN
