taxon	group	level
Lizard#suborder	Lizard#suborder	suborder
Lloydia_serotina#species	Monocotyledon#class	class
Long-eared_Hedgehog#species	Mammal#class	class
Long-eared_Owl#species	Bird#class	class
Long-snouted_seahorse#species	Actinopterygii#class	class
Long-tailed_Tit#species	Passerine#order	order
Loranthaceae#family	Dicotyledon#class	class
Lumbricidae#family	Animal#kingdom	kingdom
Macaroni_Penguin#species	Bird#class	class
Macrauchenia#genus	Mammal#class	class
Macrocystis#genus	Life#life	life
Macroglossum_stellatarum#species	Lepidoptera#order	order
Madame_Berthes_Mouse_Lemur#species	Primate#order	order
Magellanic_Penguin#species	Bird#class	class
Magellanic_Woodpecker#species	Bird#class	class
Magicicada#genus	Insect#class	class
Magnificent_Bird_of_Paradise#species	Passerine#order	order
Magnificent_Frigatebird#species	Bird#class	class
Majidae#family	Arthropod#phylum	phylum
Majungasaurus#genus	Theropoda#suborder	suborder
Malleefowl#species	Bird#class	class
Mallomys#genus	Rodent#order	order
Mandarin_Duck#species	Bird#class	class
Maned_Wolf#species	Carnivora#order	order
Manta_ray#species	Chordate#phylum	phylum
Mantis#order	Insect#class	class
Manx_Shearwater#species	Bird#class	class
Mapusaurus#genus	Theropoda#suborder	suborder
Marbled_White#species	Lepidoptera#order	order
Marine_Iguana#species	Lizard#suborder	suborder
Markhor#species	Bovid#family	family
Marsh_Fritillary#species	Lepidoptera#order	order
Marvellous_Spatuletail#species	Bird#class	class
Mason_bee#genus	Hymenoptera#order	order
Matschies_Tree-kangaroo#species	Mammal#class	class
Mayfly#order	Insect#class	class
Mediterranean_monk_seal#species	Carnivora#order	order
Meerkat#species	Carnivora#order	order
Megatheriidae#family	Mammal#class	class
Mexican_Free-tailed_Bat#species	Bat#order	order
Microraptor#genus	Theropoda#suborder	suborder
Millipede#class	Arthropod#phylum	phylum
Moa#family	Bird#class	class
Mollusca#phylum	Mollusca#phylum	phylum
Monarch_butterfly#species	Lepidoptera#order	order
Mongolian_gazelle#species	Bovid#family	family
Monocled_Cobra#species	Snake#suborder	suborder
Morelia_amethistina#species	Snake#suborder	suborder
Mosquito#family	Insect#class	class
Mountain_Hare#species	Mammal#class	class
Muskox#species	Bovid#family	family
Muttaburrasaurus#genus	Dinosaur#superorder	superorder
Naked_mole_rat#species	Rodent#order	order
Narcissus_pseudonarcissus#species	Monocotyledon#class	class
Narwhal#species	Cetacea#order	order
Nautilida#order	Mollusca#phylum	phylum
Neanderthal#species	Primate#order	order
Nepenthales#order	Dicotyledon#class	class
Nepenthes#genus	Dicotyledon#class	class
Nephrurus#genus	Lizard#suborder	suborder
Neuroptera#order	Insect#class	class
Nightingale#species	Passerine#order	order
Nile_crocodile#species	Reptile#class	class
North_American_Beaver#species	Rodent#order	order
Northern_Fulmar#species	Bird#class	class
Northern_Gannet#species	Bird#class	class
Northern_Goshawk#species	Accipitridae#family	family
North_Island_Brown_Kiwi#species	Bird#class	class
North_Pacific_Giant_Octopus#species	Mollusca#phylum	phylum
Nothronychus#genus	Theropoda#suborder	suborder
Nubian_Ibex#species	Bovid#family	family
Octopus#order	Mollusca#phylum	phylum
Odd-toed_ungulate#order	Mammal#class	class
Odonata#order	Insect#class	class
Olive_Baboon#species	Primate#order	order
Olive_Ridley#species	Reptile#class	class
Onager#species	Mammal#class	class
Ophrys#genus	Monocotyledon#class	class
Ophthalmosaurus#genus	Reptile#class	class
Oreophrynella_nigra#species	Amphibian#class	class
Ornithischia#order	Dinosaur#superorder	superorder
Orthoptera#order	Insect#class	class
Osteichthyes#superclass	Chordate#phylum	phylum
Ostrich#species	Bird#class	class
Owl#order	Bird#class	class
Palmate_Newt#species	Amphibian#class	class
Panamanian_golden_frog#species	Amphibian#class	class
Pangolin#genus	Mammal#class	class
Pantropical_Spotted_Dolphin#species	Cetacea#order	order
Papaver_radicatum#species	Dicotyledon#class	class
Paraceratherium#genus	Mammal#class	class
Pardosa_nigriceps#species	Arthropod#phylum	phylum
Parrot#order	Bird#class	class
Passalidae#family	Insect#class	class
Passerine#order	Passerine#order	order
Passiflora#genus	Dicotyledon#class	class
Patagonian_Mara#species	Rodent#order	order
Patas_monkey#species	Primate#order	order
Peales_Dolphin#species	Cetacea#order	order
Pectinidae#family	Mollusca#phylum	phylum
Pelecaniformes#order	Bird#class	class
Pelican#family	Bird#class	class
Perciformes#order	Actinopterygii#class	class
P_re_Davids_Deer#species	Even-toed_ungulate#order	order
Peregrine_Falcon#species	Bird#class	class
Perentie#species	Lizard#suborder	suborder
Peruvian_anchoveta#species	Actinopterygii#class	class
Phalanger#genus	Mammal#class	class
Phallus_indusiatus#species	Fungus#kingdom	kingdom
Phasmatodea#order	Insect#class	class
Phayres_Leaf_Monkey#species	Primate#order	order
Phorusrhacidae#family	Bird#class	class
Phyllopteryx#species	Actinopterygii#class	class
Picathartes#genus	Passerine#order	order
Pied_Avocet#species	Charadriiformes#order	order
Pied_Kingfisher#species	Bird#class	class
Pied_tamarin#species	Primate#order	order
Pilobolus_crystallinus#species	Fungus#kingdom	kingdom
Pilosa#order	Mammal#class	class
Pinales#order	Plant#kingdom	kingdom
Pinniped#superfamily	Carnivora#order	order
Pinophyta#phylum	Plant#kingdom	kingdom
Pinus_longaeva#species	Plant#kingdom	kingdom
Placerias#genus	Chordate#phylum	phylum
Plateau_Pika#species	Mammal#class	class
Platypus#species	Mammal#class	class
Plesiosauria#order	Reptile#class	class
Plesiosaur#suborder	Reptile#class	class
Pliosaur#suborder	Reptile#class	class
Poales#order	Monocotyledon#class	class
Poison_dart_frog#family	Amphibian#class	class
Polar_bear#species	Carnivora#order	order
Pompeii_worm#species	Animal#kingdom	kingdom
Postosuchus#genus	Reptile#class	class
Primate#order	Primate#order	order
Procellariiformes#order	Bird#class	class
Pronghorn#species	Even-toed_ungulate#order	order
Propalaeotherium#genus	Mammal#class	class
Protoceratops#genus	Dinosaur#superorder	superorder
Pteropus#genus	Bat#order	order
Pterosaur#order	Reptile#class	class
Purple_Emperor#species	Lepidoptera#order	order
Pygmy_parrot#genus	Bird#class	class
Pygmy_Three-toed_Sloth#species	Mammal#class	class
Python_sebae#species	Snake#suborder	suborder
Quercus_robur#species	Dicotyledon#class	class
Radiated_tortoise#species	Reptile#class	class
Raggiana_Bird_of_Paradise#species	Passerine#order	order
Rajiformes#order	Chordate#phylum	phylum
Ramsons#species	Monocotyledon#class	class
Ratite#order	Bird#class	class
Red-bellied_piranha#species	Actinopterygii#class	class
Red-billed_Chough#species	Passerine#order	order
Red-billed_Quelea#species	Passerine#order	order
Red-billed_Tropicbird#species	Bird#class	class
Red_Deer#species	Even-toed_ungulate#order	order
Red_Fox#species	Carnivora#order	order
Red_Kangaroo#species	Mammal#class	class
Red_Kite#species	Accipitridae#family	family
Red_Knot#species	Charadriiformes#order	order
Red-legged_Partridge#species	Bird#class	class
Red_Panda#species	Carnivora#order	order
Red_Ruffed_Lemur#species	Primate#order	order
Red_Squirrel#species	Rodent#order	order
Reed_Bunting#species	Passerine#order	order
Reevess_Muntjac#species	Even-toed_ungulate#order	order
Reindeer#species	Even-toed_ungulate#order	order
Rhizophora#genus	Dicotyledon#class	class
Rhododendron#genus	Dicotyledon#class	class
Ringed_seal#species	Carnivora#order	order
Ring-tailed_Lemur#species	Primate#order	order
Rock_Pigeon#species	Bird#class	class
Rock_Ptarmigan#species	Bird#class	class
Rodent#order	Rodent#order	order
Roe_Deer#species	Even-toed_ungulate#order	order
Rook_bird#species	Passerine#order	order
Rose-ringed_Parakeet#species	Bird#class	class
Rufous_Elephant_Shrew#species	Mammal#class	class
R_ppells_Vulture#species	Accipitridae#family	family
Saguaro#species	Dicotyledon#class	class
Saharan_silver_ant#species	Hymenoptera#order	order
Saiga_Antelope#species	Bovid#family	family
Salamander#order	Amphibian#class	class
Sand_goanna#species	Lizard#suborder	suborder
Sand_Lizard#species	Lizard#suborder	suborder
Sand_Martin#species	Passerine#order	order
Sapindales#order	Dicotyledon#class	class
Saurischia#order	Dinosaur#superorder	superorder
Sauropodomorpha#suborder	Dinosaur#superorder	superorder
Scarabaeidae#family	Insect#class	class
Scathophaga_stercoraria#species	Insect#class	class
Scorpion#order	Arthropod#phylum	phylum
Sea_otter#species	Carnivora#order	order
Sequoiadendron#genus	Plant#kingdom	kingdom
Serotine_bat#species	Bat#order	order
Serval#species	Carnivora#order	order
Shark#superorder	Chordate#phylum	phylum
Short-beaked_Common_Dolphin#species	Cetacea#order	order
Short-eared_Owl#species	Bird#class	class
Short-tailed_Shearwater#species	Bird#class	class
Siamang#species	Primate#order	order
Siamese_Crocodile#species	Reptile#class	class
Silky_Sifaka#species	Primate#order	order
Sinornithosaurus#genus	Theropoda#suborder	suborder
Sirenia#order	Mammal#class	class
Skimmer#genus	Charadriiformes#order	order
Slow_loris#genus	Primate#order	order
