relation	p	s	o
location	wo:growsIn	Aesculus_hippocastanum#species	Temperate_broadleaf_and_mixed_forests#habitat
location	wo:growsIn	Aesculus_hippocastanum#species	Temperate_grasslands_savannas_and_shrublands#habitat
location	wo:growsIn	Aesculus_hippocastanum#species	Urban_ecosystem#habitat
adaptation	wo:adaptation	African_Buffalo#species	Antipredator_adaptation#adaptation
adaptation	wo:adaptation	African_Buffalo#species	Dominance_hierarchy#adaptation
adaptation	wo:adaptation	African_Buffalo#species	Hearing_sense#adaptation
adaptation	wo:adaptation	African_Buffalo#species	Herbivore#adaptation
adaptation	wo:adaptation	African_Buffalo#species	Maternal_effect#adaptation
adaptation	wo:adaptation	African_Buffalo#species	Polygyny#adaptation
adaptation	wo:adaptation	African_Buffalo#species	Precocial#adaptation
adaptation	wo:adaptation	African_Buffalo#species	Presociality#adaptation
adaptation	wo:adaptation	African_Buffalo#species	Running#adaptation
adaptation	wo:adaptation	African_Buffalo#species	Semiochemical#adaptation
adaptation	wo:adaptation	African_Buffalo#species	Sexual_dimorphism#adaptation
adaptation	wo:adaptation	African_Buffalo#species	Visual_perception#adaptation
adaptation	wo:adaptation	African_Buffalo#species	Vivipary#adaptation
location	wo:growsIn	African_Buffalo#species	Arable_land#habitat
location	wo:growsIn	African_Buffalo#species	Flooded_grasslands_and_savannas#habitat
location	wo:growsIn	African_Buffalo#species	Temperate_broadleaf_and_mixed_forests#habitat
location	wo:growsIn	African_Buffalo#species	Tropical_and_subtropical_dry_broadleaf_forests#habitat
location	wo:growsIn	African_Buffalo#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
location	wo:growsIn	African_Buffalo#species	Tropical_and_subtropical_moist_broadleaf_forests#habitat
location	wo:livesIn	African_Buffalo#species	Arable_land#habitat
location	wo:livesIn	African_Buffalo#species	Flooded_grasslands_and_savannas#habitat
location	wo:livesIn	African_Buffalo#species	Temperate_broadleaf_and_mixed_forests#habitat
location	wo:livesIn	African_Buffalo#species	Tropical_and_subtropical_dry_broadleaf_forests#habitat
location	wo:livesIn	African_Buffalo#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
location	wo:livesIn	African_Buffalo#species	Tropical_and_subtropical_moist_broadleaf_forests#habitat
location	wo:growsIn	African_Bush_Elephant#species	Deserts_and_xeric_shrublands#habitat
location	wo:growsIn	African_Bush_Elephant#species	Flooded_grasslands_and_savannas#habitat
location	wo:growsIn	African_Bush_Elephant#species	Mediterranean_forests_woodlands_and_scrub#habitat
location	wo:growsIn	African_Bush_Elephant#species	Montane_grasslands_and_shrublands#habitat
location	wo:growsIn	African_Bush_Elephant#species	Swamp#habitat
location	wo:growsIn	African_Bush_Elephant#species	Tropical_and_subtropical_dry_broadleaf_forests#habitat
location	wo:growsIn	African_Bush_Elephant#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
location	wo:growsIn	African_Bush_Elephant#species	Tropical_and_subtropical_moist_broadleaf_forests#habitat
adaptation	wo:adaptation	African_Fish_Eagle#species	Carnivore#adaptation
adaptation	wo:adaptation	African_Fish_Eagle#species	Flight#adaptation
adaptation	wo:adaptation	African_Fish_Eagle#species	Monogamous_pairing_in_animals#adaptation
adaptation	wo:adaptation	African_Fish_Eagle#species	Oviparity#adaptation
adaptation	wo:adaptation	African_Fish_Eagle#species	Predation#adaptation
location	wo:growsIn	African_Fish_Eagle#species	Coast#habitat
location	wo:growsIn	African_Fish_Eagle#species	Deserts_and_xeric_shrublands#habitat
location	wo:growsIn	African_Fish_Eagle#species	Flooded_grasslands_and_savannas#habitat
location	wo:growsIn	African_Fish_Eagle#species	Lake#habitat
location	wo:growsIn	African_Fish_Eagle#species	Mangrove#habitat
location	wo:growsIn	African_Fish_Eagle#species	Mediterranean_forests_woodlands_and_scrub#habitat
location	wo:growsIn	African_Fish_Eagle#species	River#habitat
location	wo:growsIn	African_Fish_Eagle#species	Swamp#habitat
location	wo:growsIn	African_Fish_Eagle#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
location	wo:growsIn	African_Fish_Eagle#species	Tropical_and_subtropical_moist_broadleaf_forests#habitat
location	wo:growsIn	African_Fish_Eagle#species	Wetland#habitat
location	wo:livesIn	African_Fish_Eagle#species	Coast#habitat
location	wo:livesIn	African_Fish_Eagle#species	Deserts_and_xeric_shrublands#habitat
location	wo:livesIn	African_Fish_Eagle#species	Flooded_grasslands_and_savannas#habitat
location	wo:livesIn	African_Fish_Eagle#species	Lake#habitat
location	wo:livesIn	African_Fish_Eagle#species	Mangrove#habitat
location	wo:livesIn	African_Fish_Eagle#species	Mediterranean_forests_woodlands_and_scrub#habitat
location	wo:livesIn	African_Fish_Eagle#species	River#habitat
location	wo:livesIn	African_Fish_Eagle#species	Swamp#habitat
location	wo:livesIn	African_Fish_Eagle#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
location	wo:livesIn	African_Fish_Eagle#species	Tropical_and_subtropical_moist_broadleaf_forests#habitat
location	wo:livesIn	African_Fish_Eagle#species	Wetland#habitat
adaptation	wo:adaptation	African_Forest_Elephant#species	Animal_cognition#adaptation
adaptation	wo:adaptation	African_Forest_Elephant#species	Cooperative_breeding#adaptation
adaptation	wo:adaptation	African_Forest_Elephant#species	Dominance_hierarchy#adaptation
adaptation	wo:adaptation	African_Forest_Elephant#species	Haptic_perception#adaptation
