relation	p	s	o
location	wo:growsIn	Poales#order	Bog#habitat
location	wo:growsIn	Poales#order	Brackish#habitat
location	wo:growsIn	Poales#order	Brownfield_land#habitat
location	wo:growsIn	Poales#order	Calcareous_grassland#habitat
location	wo:growsIn	Poales#order	Coast#habitat
location	wo:growsIn	Poales#order	Deserts_and_xeric_shrublands#habitat
location	wo:growsIn	Poales#order	English_Lowlands_beech_forests#habitat
location	wo:growsIn	Poales#order	Flooded_grasslands_and_savannas#habitat
location	wo:growsIn	Poales#order	Heath_habitat#habitat
location	wo:growsIn	Poales#order	hedge#habitat
location	wo:growsIn	Poales#order	Marsh#habitat
location	wo:growsIn	Poales#order	Meadow#habitat
location	wo:growsIn	Poales#order	Mediterranean_forests_woodlands_and_scrub#habitat
location	wo:growsIn	Poales#order	Montane_grasslands_and_shrublands#habitat
location	wo:growsIn	Poales#order	Moorland#habitat
location	wo:growsIn	Poales#order	Mountain#habitat
location	wo:growsIn	Poales#order	Park#habitat
location	wo:growsIn	Poales#order	Swamp#habitat
location	wo:growsIn	Poales#order	Taiga#habitat
location	wo:growsIn	Poales#order	Temperate_broadleaf_and_mixed_forests#habitat
location	wo:growsIn	Poales#order	Temperate_coniferous_forest#habitat
location	wo:growsIn	Poales#order	Temperate_grasslands_savannas_and_shrublands#habitat
location	wo:growsIn	Poales#order	Tropical_and_subtropical_coniferous_forests#habitat
location	wo:growsIn	Poales#order	Tropical_and_subtropical_dry_broadleaf_forests#habitat
location	wo:growsIn	Poales#order	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
location	wo:growsIn	Poales#order	Tropical_and_subtropical_moist_broadleaf_forests#habitat
location	wo:growsIn	Poales#order	Tundra#habitat
location	wo:growsIn	Poales#order	Urban_ecosystem#habitat
location	wo:growsIn	Poales#order	Wetland#habitat
adaptation	wo:adaptation	Podiceps#genus	Altricial#adaptation
adaptation	wo:adaptation	Podiceps#genus	Animal_migration#adaptation
adaptation	wo:adaptation	Podiceps#genus	Courtship_display#adaptation
adaptation	wo:adaptation	Podiceps#genus	Flight#adaptation
adaptation	wo:adaptation	Podiceps#genus	Jumping#adaptation
adaptation	wo:adaptation	Podiceps#genus	Oviparity#adaptation
adaptation	wo:adaptation	Podiceps#genus	Predation#adaptation
adaptation	wo:adaptation	Podiceps#genus	Visual_perception#adaptation
location	wo:livesIn	Podiceps#genus	Lake#habitat
location	wo:livesIn	Podiceps#genus	Wetland#habitat
adaptation	wo:adaptation	Poison_dart_frog#family	Aposematism#adaptation
adaptation	wo:adaptation	Poison_dart_frog#family	Poison#adaptation
location	wo:livesIn	Poison_dart_frog#family	Tropical_and_subtropical_moist_broadleaf_forests#habitat
adaptation	wo:adaptation	Polar_bear#species	Altricial#adaptation
adaptation	wo:adaptation	Polar_bear#species	Aquatic_locomotion#adaptation
adaptation	wo:adaptation	Polar_bear#species	Camouflage#adaptation
adaptation	wo:adaptation	Polar_bear#species	Carnivore#adaptation
adaptation	wo:adaptation	Polar_bear#species	Hearing_sense#adaptation
adaptation	wo:adaptation	Polar_bear#species	Hibernation#adaptation
adaptation	wo:adaptation	Polar_bear#species	Kleptoparasitism#adaptation
adaptation	wo:adaptation	Polar_bear#species	Maternal_effect#adaptation
adaptation	wo:adaptation	Polar_bear#species	Nomad#adaptation
adaptation	wo:adaptation	Polar_bear#species	Polygyny#adaptation
adaptation	wo:adaptation	Polar_bear#species	Predation#adaptation
adaptation	wo:adaptation	Polar_bear#species	Psychrophile#adaptation
adaptation	wo:adaptation	Polar_bear#species	Running#adaptation
adaptation	wo:adaptation	Polar_bear#species	Semiochemical#adaptation
adaptation	wo:adaptation	Polar_bear#species	Sexual_dimorphism#adaptation
adaptation	wo:adaptation	Polar_bear#species	Torpor#adaptation
adaptation	wo:adaptation	Polar_bear#species	Vivipary#adaptation
location	wo:growsIn	Polar_bear#species	Coast#habitat
location	wo:growsIn	Polar_bear#species	Neritic_zone#habitat
location	wo:growsIn	Polar_bear#species	Polar_region#habitat
location	wo:livesIn	Polar_bear#species	Coast#habitat
location	wo:livesIn	Polar_bear#species	Neritic_zone#habitat
location	wo:livesIn	Polar_bear#species	Polar_region#habitat
adaptation	wo:adaptation	Pompeii_worm#species	Sessility_zoology#adaptation
adaptation	wo:adaptation	Pompeii_worm#species	Symbiosis#adaptation
location	wo:growsIn	Pompeii_worm#species	Benthic_zone#habitat
location	wo:growsIn	Pompeii_worm#species	Hydrothermal_vent#habitat
location	wo:livesIn	Pompeii_worm#species	Benthic_zone#habitat
location	wo:livesIn	Pompeii_worm#species	Hydrothermal_vent#habitat
adaptation	wo:adaptation	Postosuchus#genus	Antipredator_adaptation#adaptation
adaptation	wo:adaptation	Postosuchus#genus	Carnivore#adaptation
adaptation	wo:adaptation	Postosuchus#genus	Oviparity#adaptation
adaptation	wo:adaptation	Postosuchus#genus	Predation#adaptation
adaptation	wo:adaptation	Postosuchus#genus	Running#adaptation
adaptation	wo:adaptation	Prairie_dog#genus	Fossorial#adaptation
adaptation	wo:adaptation	Prairie_dog#genus	Presociality#adaptation
adaptation	wo:adaptation	Prairie_dog#genus	Vivipary#adaptation
location	wo:livesIn	Prairie_dog#genus	Temperate_grasslands_savannas_and_shrublands#habitat
adaptation	wo:adaptation	Proboscidea#order	Herbivore#adaptation
adaptation	wo:adaptation	Proboscidea#order	Running#adaptation
adaptation	wo:adaptation	Proboscidea#order	Vivipary#adaptation
adaptation	wo:adaptation	Pronghorn#species	Abscission#adaptation
adaptation	wo:adaptation	Pronghorn#species	Antipredator_adaptation#adaptation
adaptation	wo:adaptation	Pronghorn#species	Coprophagia#adaptation
adaptation	wo:adaptation	Pronghorn#species	Hearing_sense#adaptation
adaptation	wo:adaptation	Pronghorn#species	Herbivore#adaptation
adaptation	wo:adaptation	Pronghorn#species	Maternal_effect#adaptation
adaptation	wo:adaptation	Pronghorn#species	Polygyny#adaptation
adaptation	wo:adaptation	Pronghorn#species	Precocial#adaptation
adaptation	wo:adaptation	Pronghorn#species	Presociality#adaptation
adaptation	wo:adaptation	Pronghorn#species	Psychrophile#adaptation
adaptation	wo:adaptation	Pronghorn#species	Running#adaptation
adaptation	wo:adaptation	Pronghorn#species	Semiochemical#adaptation
adaptation	wo:adaptation	Pronghorn#species	Sexual_dimorphism#adaptation
adaptation	wo:adaptation	Pronghorn#species	Territory_animal#adaptation
adaptation	wo:adaptation	Pronghorn#species	Vivipary#adaptation
location	wo:growsIn	Pronghorn#species	Deserts_and_xeric_shrublands#habitat
location	wo:growsIn	Pronghorn#species	Temperate_grasslands_savannas_and_shrublands#habitat
location	wo:livesIn	Pronghorn#species	Deserts_and_xeric_shrublands#habitat
location	wo:livesIn	Pronghorn#species	Temperate_grasslands_savannas_and_shrublands#habitat
adaptation	wo:adaptation	Propalaeotherium#genus	Herbivore#adaptation
adaptation	wo:adaptation	Propalaeotherium#genus	Maternal_effect#adaptation
adaptation	wo:adaptation	Propalaeotherium#genus	Presociality#adaptation
adaptation	wo:adaptation	Propalaeotherium#genus	Running#adaptation
adaptation	wo:adaptation	Propalaeotherium#genus	Vivipary#adaptation
adaptation	wo:adaptation	Protoceratops#genus	Antipredator_adaptation#adaptation
adaptation	wo:adaptation	Protoceratops#genus	Herbivore#adaptation
adaptation	wo:adaptation	Protoceratops#genus	Oviparity#adaptation
adaptation	wo:adaptation	Protoceratops#genus	Running#adaptation
adaptation	wo:adaptation	Pterosaur#order	Carnivore#adaptation
adaptation	wo:adaptation	Pterosaur#order	Flight#adaptation
adaptation	wo:adaptation	Pterosaur#order	Gliding_flight#adaptation
adaptation	wo:adaptation	Pterosaur#order	Oviparity#adaptation
adaptation	wo:adaptation	Puffinus#genus	Altricial#adaptation
adaptation	wo:adaptation	Puffinus#genus	Carnivore#adaptation
adaptation	wo:adaptation	Puffinus#genus	Flight#adaptation
adaptation	wo:adaptation	Puffinus#genus	Fossorial#adaptation
adaptation	wo:adaptation	Puffinus#genus	Gliding_flight#adaptation
adaptation	wo:adaptation	Puffinus#genus	Hearing_sense#adaptation
adaptation	wo:adaptation	Puffinus#genus	Monogamous_pairing_in_animals#adaptation
adaptation	wo:adaptation	Puffinus#genus	Oviparity#adaptation
adaptation	wo:adaptation	Puffinus#genus	Semiochemical#adaptation
adaptation	wo:adaptation	Puffinus#genus	Visual_perception#adaptation
location	wo:livesIn	Puffinus#genus	Coast#habitat
location	wo:livesIn	Puffinus#genus	Estuary#habitat
location	wo:livesIn	Puffinus#genus	Intertidal_zone#habitat
location	wo:livesIn	Puffinus#genus	Neritic_zone#habitat
location	wo:livesIn	Puffinus#genus	Pelagic#habitat
adaptation	wo:adaptation	Purple_Emperor#species	Arboreal_locomotion#adaptation
adaptation	wo:adaptation	Purple_Emperor#species	Climbing#adaptation
adaptation	wo:adaptation	Purple_Emperor#species	Coprophagia#adaptation
adaptation	wo:adaptation	Purple_Emperor#species	Flight#adaptation
adaptation	wo:adaptation	Purple_Emperor#species	Herbivore#adaptation
adaptation	wo:adaptation	Purple_Emperor#species	Hibernation#adaptation
adaptation	wo:adaptation	Purple_Emperor#species	Metamorphosis#adaptation
adaptation	wo:adaptation	Purple_Emperor#species	Oviparity#adaptation
adaptation	wo:adaptation	Purple_Emperor#species	Scavenger#adaptation
adaptation	wo:adaptation	Purple_Emperor#species	Sexual_dimorphism#adaptation
adaptation	wo:adaptation	Purple_Emperor#species	Torpor#adaptation
adaptation	wo:adaptation	Purple_Emperor#species	Visual_perception#adaptation
location	wo:growsIn	Purple_Emperor#species	Temperate_broadleaf_and_mixed_forests#habitat
location	wo:livesIn	Purple_Emperor#species	Temperate_broadleaf_and_mixed_forests#habitat
adaptation	wo:adaptation	Pusa#genus	Aquatic_locomotion#adaptation
adaptation	wo:adaptation	Pusa#genus	Carnivore#adaptation
adaptation	wo:adaptation	Pusa#genus	Haptic_perception#adaptation
adaptation	wo:adaptation	Pusa#genus	Hearing_sense#adaptation
adaptation	wo:adaptation	Pusa#genus	Maternal_effect#adaptation
adaptation	wo:adaptation	Pusa#genus	Polygyny#adaptation
adaptation	wo:adaptation	Pusa#genus	Predation#adaptation
adaptation	wo:adaptation	Pusa#genus	Psychrophile#adaptation
adaptation	wo:adaptation	Pusa#genus	Vivipary#adaptation
adaptation	wo:adaptation	Pygmy_Three-toed_Sloth#species	Antipredator_adaptation#adaptation
adaptation	wo:adaptation	Pygmy_Three-toed_Sloth#species	Aquatic_locomotion#adaptation
adaptation	wo:adaptation	Pygmy_Three-toed_Sloth#species	Arboreal_locomotion#adaptation
adaptation	wo:adaptation	Pygmy_Three-toed_Sloth#species	Camouflage#adaptation
adaptation	wo:adaptation	Pygmy_Three-toed_Sloth#species	Climbing#adaptation
adaptation	wo:adaptation	Pygmy_Three-toed_Sloth#species	Hearing_sense#adaptation
adaptation	wo:adaptation	Pygmy_Three-toed_Sloth#species	Herbivore#adaptation
adaptation	wo:adaptation	Pygmy_Three-toed_Sloth#species	Maternal_effect#adaptation
adaptation	wo:adaptation	Pygmy_Three-toed_Sloth#species	Precocial#adaptation
adaptation	wo:adaptation	Pygmy_Three-toed_Sloth#species	Semiochemical#adaptation
adaptation	wo:adaptation	Pygmy_Three-toed_Sloth#species	Sexual_dimorphism#adaptation
adaptation	wo:adaptation	Pygmy_Three-toed_Sloth#species	Vivipary#adaptation
location	wo:growsIn	Pygmy_Three-toed_Sloth#species	Mangrove#habitat
location	wo:livesIn	Pygmy_Three-toed_Sloth#species	Mangrove#habitat
adaptation	wo:adaptation	Python_genus#genus	Carnivore#adaptation
adaptation	wo:adaptation	Python_genus#genus	Haptic_perception#adaptation
adaptation	wo:adaptation	Python_genus#genus	Maternal_effect#adaptation
adaptation	wo:adaptation	Python_genus#genus	Moulting#adaptation
adaptation	wo:adaptation	Python_genus#genus	Oviparity#adaptation
adaptation	wo:adaptation	Python_genus#genus	Precocial#adaptation
adaptation	wo:adaptation	Python_genus#genus	Predation#adaptation
adaptation	wo:adaptation	Python_genus#genus	Semiochemical#adaptation
location	wo:livesIn	Python_genus#genus	Swamp#habitat
location	wo:livesIn	Python_genus#genus	Tropical_and_subtropical_coniferous_forests#habitat
location	wo:livesIn	Python_genus#genus	Tropical_and_subtropical_dry_broadleaf_forests#habitat
location	wo:livesIn	Python_genus#genus	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
location	wo:livesIn	Python_genus#genus	Tropical_and_subtropical_moist_broadleaf_forests#habitat
adaptation	wo:adaptation	Python_molurus#species	Aquatic_locomotion#adaptation
adaptation	wo:adaptation	Python_molurus#species	Carnivore#adaptation
adaptation	wo:adaptation	Python_molurus#species	Haptic_perception#adaptation
adaptation	wo:adaptation	Python_molurus#species	Hibernation#adaptation
adaptation	wo:adaptation	Python_molurus#species	Maternal_effect#adaptation
adaptation	wo:adaptation	Python_molurus#species	Moulting#adaptation
adaptation	wo:adaptation	Python_molurus#species	Oviparity#adaptation
adaptation	wo:adaptation	Python_molurus#species	Precocial#adaptation
adaptation	wo:adaptation	Python_molurus#species	Predation#adaptation
adaptation	wo:adaptation	Python_molurus#species	Semiochemical#adaptation
adaptation	wo:adaptation	Python_molurus#species	Sexual_dimorphism#adaptation
adaptation	wo:adaptation	Python_molurus#species	Visual_perception#adaptation
location	wo:growsIn	Python_molurus#species	Swamp#habitat
location	wo:growsIn	Python_molurus#species	Tropical_and_subtropical_coniferous_forests#habitat
location	wo:growsIn	Python_molurus#species	Tropical_and_subtropical_dry_broadleaf_forests#habitat
location	wo:growsIn	Python_molurus#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
location	wo:growsIn	Python_molurus#species	Tropical_and_subtropical_moist_broadleaf_forests#habitat
location	wo:livesIn	Python_molurus#species	Marsh#habitat
location	wo:livesIn	Python_molurus#species	Swamp#habitat
location	wo:livesIn	Python_molurus#species	Tropical_and_subtropical_coniferous_forests#habitat
location	wo:livesIn	Python_molurus#species	Tropical_and_subtropical_dry_broadleaf_forests#habitat
location	wo:livesIn	Python_molurus#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
location	wo:livesIn	Python_molurus#species	Tropical_and_subtropical_moist_broadleaf_forests#habitat
adaptation	wo:adaptation	Python_sebae#species	Camouflage#adaptation
adaptation	wo:adaptation	Python_sebae#species	Carnivore#adaptation
adaptation	wo:adaptation	Python_sebae#species	Haptic_perception#adaptation
adaptation	wo:adaptation	Python_sebae#species	Maternal_effect#adaptation
adaptation	wo:adaptation	Python_sebae#species	Moulting#adaptation
adaptation	wo:adaptation	Python_sebae#species	Oviparity#adaptation
adaptation	wo:adaptation	Python_sebae#species	Precocial#adaptation
adaptation	wo:adaptation	Python_sebae#species	Predation#adaptation
adaptation	wo:adaptation	Python_sebae#species	Semiochemical#adaptation
adaptation	wo:adaptation	Python_sebae#species	Sexual_dimorphism#adaptation
adaptation	wo:adaptation	Python_sebae#species	Visual_perception#adaptation
location	wo:growsIn	Python_sebae#species	Swamp#habitat
location	wo:growsIn	Python_sebae#species	Temperate_grasslands_savannas_and_shrublands#habitat
location	wo:growsIn	Python_sebae#species	Tropical_and_subtropical_coniferous_forests#habitat
location	wo:growsIn	Python_sebae#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
location	wo:livesIn	Python_sebae#species	Swamp#habitat
location	wo:livesIn	Python_sebae#species	Temperate_grasslands_savannas_and_shrublands#habitat
location	wo:livesIn	Python_sebae#species	Tropical_and_subtropical_coniferous_forests#habitat
location	wo:livesIn	Python_sebae#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
adaptation	wo:adaptation	Quercus_robur#species	Abscission#adaptation
adaptation	wo:adaptation	Quercus_robur#species	Flower#adaptation
location	wo:growsIn	Quercus_robur#species	Ancient_woodland#habitat
location	wo:growsIn	Quercus_robur#species	Limestone_pavement#habitat
location	wo:growsIn	Quercus_robur#species	Park#habitat
location	wo:growsIn	Quercus_robur#species	Temperate_broadleaf_and_mixed_forests#habitat
adaptation	wo:adaptation	Raccoon#species	Altricial#adaptation
adaptation	wo:adaptation	Raccoon#species	Climbing#adaptation
adaptation	wo:adaptation	Raccoon#species	Haptic_perception#adaptation
adaptation	wo:adaptation	Raccoon#species	Nocturnality#adaptation
adaptation	wo:adaptation	Raccoon#species	Polygynandry#adaptation
adaptation	wo:adaptation	Raccoon#species	Vivipary#adaptation
location	wo:growsIn	Raccoon#species	Bog#habitat
location	wo:growsIn	Raccoon#species	Brownfield_land#habitat
location	wo:growsIn	Raccoon#species	Deserts_and_xeric_shrublands#habitat
location	wo:growsIn	Raccoon#species	Estuary#habitat
location	wo:growsIn	Raccoon#species	Flooded_grasslands_and_savannas#habitat
location	wo:growsIn	Raccoon#species	Intertidal_zone#habitat
location	wo:growsIn	Raccoon#species	Mangrove#habitat
location	wo:growsIn	Raccoon#species	Mediterranean_forests_woodlands_and_scrub#habitat
location	wo:growsIn	Raccoon#species	Swamp#habitat
location	wo:growsIn	Raccoon#species	Taiga#habitat
location	wo:growsIn	Raccoon#species	Temperate_broadleaf_and_mixed_forests#habitat
location	wo:growsIn	Raccoon#species	Temperate_coniferous_forest#habitat
location	wo:growsIn	Raccoon#species	Tropical_and_subtropical_coniferous_forests#habitat
location	wo:growsIn	Raccoon#species	Tropical_and_subtropical_dry_broadleaf_forests#habitat
location	wo:growsIn	Raccoon#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
location	wo:growsIn	Raccoon#species	Tropical_and_subtropical_moist_broadleaf_forests#habitat
location	wo:livesIn	Raccoon#species	Bog#habitat
location	wo:livesIn	Raccoon#species	Brownfield_land#habitat
location	wo:livesIn	Raccoon#species	Deserts_and_xeric_shrublands#habitat
location	wo:livesIn	Raccoon#species	Estuary#habitat
location	wo:livesIn	Raccoon#species	Flooded_grasslands_and_savannas#habitat
location	wo:livesIn	Raccoon#species	Intertidal_zone#habitat
location	wo:livesIn	Raccoon#species	Mangrove#habitat
location	wo:livesIn	Raccoon#species	Marsh#habitat
location	wo:livesIn	Raccoon#species	Mediterranean_forests_woodlands_and_scrub#habitat
location	wo:livesIn	Raccoon#species	Swamp#habitat
location	wo:livesIn	Raccoon#species	Taiga#habitat
location	wo:livesIn	Raccoon#species	Temperate_broadleaf_and_mixed_forests#habitat
location	wo:livesIn	Raccoon#species	Temperate_coniferous_forest#habitat
location	wo:livesIn	Raccoon#species	Tropical_and_subtropical_coniferous_forests#habitat
location	wo:livesIn	Raccoon#species	Tropical_and_subtropical_dry_broadleaf_forests#habitat
location	wo:livesIn	Raccoon#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
location	wo:livesIn	Raccoon#species	Tropical_and_subtropical_moist_broadleaf_forests#habitat
adaptation	wo:adaptation	Radiated_tortoise#species	Altricial#adaptation
adaptation	wo:adaptation	Radiated_tortoise#species	Antipredator_adaptation#adaptation
adaptation	wo:adaptation	Radiated_tortoise#species	Herbivore#adaptation
adaptation	wo:adaptation	Radiated_tortoise#species	Oviparity#adaptation
location	wo:growsIn	Radiated_tortoise#species	Tropical_and_subtropical_dry_broadleaf_forests#habitat
location	wo:livesIn	Radiated_tortoise#species	Tropical_and_subtropical_dry_broadleaf_forests#habitat
adaptation	wo:adaptation	Raggiana_Bird_of_Paradise#species	Courtship_display#adaptation
adaptation	wo:adaptation	Raggiana_Bird_of_Paradise#species	Flight#adaptation
adaptation	wo:adaptation	Raggiana_Bird_of_Paradise#species	Oviparity#adaptation
adaptation	wo:adaptation	Raggiana_Bird_of_Paradise#species	Polygyny#adaptation
adaptation	wo:adaptation	Raggiana_Bird_of_Paradise#species	Seed_dispersal#adaptation
adaptation	wo:adaptation	Raggiana_Bird_of_Paradise#species	Sexual_dimorphism#adaptation
adaptation	wo:adaptation	Raggiana_Bird_of_Paradise#species	Visual_perception#adaptation
location	wo:growsIn	Raggiana_Bird_of_Paradise#species	Tropical_and_subtropical_moist_broadleaf_forests#habitat
location	wo:livesIn	Raggiana_Bird_of_Paradise#species	Tropical_and_subtropical_moist_broadleaf_forests#habitat
adaptation	wo:adaptation	Rajiformes#order	Aquatic_locomotion#adaptation
adaptation	wo:adaptation	Rajiformes#order	Carnivore#adaptation
adaptation	wo:adaptation	Rajiformes#order	Haptic_perception#adaptation
location	wo:livesIn	Rajiformes#order	Benthic_zone#habitat
location	wo:livesIn	Rajiformes#order	Brackish#habitat
location	wo:livesIn	Rajiformes#order	Estuary#habitat
location	wo:livesIn	Rajiformes#order	Neritic_zone#habitat
location	wo:livesIn	Rajiformes#order	Pelagic#habitat
location	wo:livesIn	Rajiformes#order	River#habitat
adaptation	wo:adaptation	Rallidae#family	Hearing_sense#adaptation
adaptation	wo:adaptation	Rallidae#family	Oviparity#adaptation
adaptation	wo:adaptation	Rallidae#family	Running#adaptation
adaptation	wo:adaptation	Rallidae#family	Visual_perception#adaptation
adaptation	wo:adaptation	Ramsons#species	Flower#adaptation
adaptation	wo:adaptation	Ramsons#species	Semiochemical#adaptation
adaptation	wo:adaptation	Ramsons#species	Visual_perception#adaptation
location	wo:growsIn	Ramsons#species	Ancient_woodland#habitat
location	wo:growsIn	Ramsons#species	English_Lowlands_beech_forests#habitat
location	wo:growsIn	Ramsons#species	Temperate_broadleaf_and_mixed_forests#habitat
adaptation	wo:adaptation	Red-bellied_piranha#species	Ambush_predator#adaptation
adaptation	wo:adaptation	Red-bellied_piranha#species	Aquatic_locomotion#adaptation
adaptation	wo:adaptation	Red-bellied_piranha#species	Carnivore#adaptation
adaptation	wo:adaptation	Red-bellied_piranha#species	Courtship_display#adaptation
adaptation	wo:adaptation	Red-bellied_piranha#species	Oviparity#adaptation
adaptation	wo:adaptation	Red-bellied_piranha#species	Predation#adaptation
adaptation	wo:adaptation	Red-bellied_piranha#species	Scavenger#adaptation
adaptation	wo:adaptation	Red-bellied_piranha#species	Swarm#adaptation
location	wo:growsIn	Red-bellied_piranha#species	Lake#habitat
location	wo:growsIn	Red-bellied_piranha#species	River#habitat
location	wo:livesIn	Red-bellied_piranha#species	Lake#habitat
location	wo:livesIn	Red-bellied_piranha#species	River#habitat
adaptation	wo:adaptation	Red-billed_Chough#species	Carnivore#adaptation
adaptation	wo:adaptation	Red-billed_Chough#species	Colony_biology#adaptation
adaptation	wo:adaptation	Red-billed_Chough#species	Courtship_display#adaptation
adaptation	wo:adaptation	Red-billed_Chough#species	Flight#adaptation
adaptation	wo:adaptation	Red-billed_Chough#species	Hearing_sense#adaptation
adaptation	wo:adaptation	Red-billed_Chough#species	Hoarding_animal_behaviour#adaptation
adaptation	wo:adaptation	Red-billed_Chough#species	Monogamous_pairing_in_animals#adaptation
adaptation	wo:adaptation	Red-billed_Chough#species	Moulting#adaptation
adaptation	wo:adaptation	Red-billed_Chough#species	Oviparity#adaptation
adaptation	wo:adaptation	Red-billed_Chough#species	Parental_investment#adaptation
adaptation	wo:adaptation	Red-billed_Chough#species	Visual_perception#adaptation
location	wo:growsIn	Red-billed_Chough#species	Arable_land#habitat
location	wo:growsIn	Red-billed_Chough#species	Coast#habitat
location	wo:growsIn	Red-billed_Chough#species	Mountain#habitat
location	wo:growsIn	Red-billed_Chough#species	Temperate_grasslands_savannas_and_shrublands#habitat
location	wo:livesIn	Red-billed_Chough#species	Arable_land#habitat
location	wo:livesIn	Red-billed_Chough#species	Coast#habitat
location	wo:livesIn	Red-billed_Chough#species	Mountain#habitat
location	wo:livesIn	Red-billed_Chough#species	Temperate_grasslands_savannas_and_shrublands#habitat
adaptation	wo:adaptation	Red-billed_Quelea#species	Animal_migration#adaptation
adaptation	wo:adaptation	Red-billed_Quelea#species	Camouflage#adaptation
adaptation	wo:adaptation	Red-billed_Quelea#species	Colony_biology#adaptation
adaptation	wo:adaptation	Red-billed_Quelea#species	Flight#adaptation
adaptation	wo:adaptation	Red-billed_Quelea#species	Hearing_sense#adaptation
adaptation	wo:adaptation	Red-billed_Quelea#species	Herbivore#adaptation
adaptation	wo:adaptation	Red-billed_Quelea#species	Monogamous_pairing_in_animals#adaptation
adaptation	wo:adaptation	Red-billed_Quelea#species	Moulting#adaptation
adaptation	wo:adaptation	Red-billed_Quelea#species	Oviparity#adaptation
adaptation	wo:adaptation	Red-billed_Quelea#species	Polymorphism_biology#adaptation
adaptation	wo:adaptation	Red-billed_Quelea#species	Presociality#adaptation
adaptation	wo:adaptation	Red-billed_Quelea#species	Sexual_dimorphism#adaptation
adaptation	wo:adaptation	Red-billed_Quelea#species	Swarm#adaptation
adaptation	wo:adaptation	Red-billed_Quelea#species	Visual_perception#adaptation
location	wo:growsIn	Red-billed_Quelea#species	Deserts_and_xeric_shrublands#habitat
location	wo:growsIn	Red-billed_Quelea#species	Flooded_grasslands_and_savannas#habitat
location	wo:growsIn	Red-billed_Quelea#species	Montane_grasslands_and_shrublands#habitat
location	wo:growsIn	Red-billed_Quelea#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
location	wo:livesIn	Red-billed_Quelea#species	Deserts_and_xeric_shrublands#habitat
location	wo:livesIn	Red-billed_Quelea#species	Flooded_grasslands_and_savannas#habitat
location	wo:livesIn	Red-billed_Quelea#species	Montane_grasslands_and_shrublands#habitat
location	wo:livesIn	Red-billed_Quelea#species	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
adaptation	wo:adaptation	Red-billed_Tropicbird#species	Flight#adaptation
adaptation	wo:adaptation	Red-billed_Tropicbird#species	Oviparity#adaptation
location	wo:growsIn	Red-billed_Tropicbird#species	Coast#habitat
location	wo:growsIn	Red-billed_Tropicbird#species	Pelagic#habitat
location	wo:livesIn	Red-billed_Tropicbird#species	Coast#habitat
location	wo:livesIn	Red-billed_Tropicbird#species	Pelagic#habitat
adaptation	wo:adaptation	Red-crowned_Crane#species	Animal_migration#adaptation
adaptation	wo:adaptation	Red-crowned_Crane#species	Courtship_display#adaptation
adaptation	wo:adaptation	Red-crowned_Crane#species	Flight#adaptation
adaptation	wo:adaptation	Red-crowned_Crane#species	Hearing_sense#adaptation
adaptation	wo:adaptation	Red-crowned_Crane#species	Monogamous_pairing_in_animals#adaptation
adaptation	wo:adaptation	Red-crowned_Crane#species	Moulting#adaptation
adaptation	wo:adaptation	Red-crowned_Crane#species	Oviparity#adaptation
adaptation	wo:adaptation	Red-crowned_Crane#species	Parental_investment#adaptation
adaptation	wo:adaptation	Red-crowned_Crane#species	Precocial#adaptation
adaptation	wo:adaptation	Red-crowned_Crane#species	Presociality#adaptation
adaptation	wo:adaptation	Red-crowned_Crane#species	Visual_perception#adaptation
location	wo:growsIn	Red-crowned_Crane#species	Flooded_grasslands_and_savannas#habitat
location	wo:growsIn	Red-crowned_Crane#species	Temperate_grasslands_savannas_and_shrublands#habitat
location	wo:livesIn	Red-crowned_Crane#species	Flooded_grasslands_and_savannas#habitat
location	wo:livesIn	Red-crowned_Crane#species	Marsh#habitat
location	wo:livesIn	Red-crowned_Crane#species	Temperate_grasslands_savannas_and_shrublands#habitat
adaptation	wo:adaptation	Red_Deer#species	Abscission#adaptation
adaptation	wo:adaptation	Red_Deer#species	Hearing_sense#adaptation
adaptation	wo:adaptation	Red_Deer#species	Herbivore#adaptation
adaptation	wo:adaptation	Red_Deer#species	Maternal_effect#adaptation
adaptation	wo:adaptation	Red_Deer#species	Moulting#adaptation
adaptation	wo:adaptation	Red_Deer#species	Polygyny#adaptation
adaptation	wo:adaptation	Red_Deer#species	Precocial#adaptation
adaptation	wo:adaptation	Red_Deer#species	Presociality#adaptation
adaptation	wo:adaptation	Red_Deer#species	Running#adaptation
adaptation	wo:adaptation	Red_Deer#species	Semiochemical#adaptation
adaptation	wo:adaptation	Red_Deer#species	Sexual_dimorphism#adaptation
adaptation	wo:adaptation	Red_Deer#species	Territory_animal#adaptation
adaptation	wo:adaptation	Red_Deer#species	Vivipary#adaptation
