feat	count	weight	rel_role	group_name
obj<advcl<obj> ...	1.0	0.428	adaptation_comment	Animal__kingdom
compound<obj<acl:relcl< ...	1.0	0.352	adaptation_comment	Animal__kingdom
compound<obj<conj< ...	1.0	0.245	adaptation_comment	Animal__kingdom
conj>xcomp> ...	1.0	0.403	adaptation_comment	Animal__kingdom
nsubj>nmod>case> ...	1.0	0.477	adaptation_comment	Animal__kingdom
nsubj>nmod>nummod> ...	1.0	0.558	adaptation_comment	Animal__kingdom
nsubj>nmod> ...	1.0	0.347	adaptation_comment	Animal__kingdom
obl<advcl> ...	1.0	0.35	adaptation_comment	Animal__kingdom
obl<advcl>obj> ...	1.0	0.528	adaptation_comment	Animal__kingdom
conj<nmod<amod> ...	1.0	0.31	adaptation_comment	Animal__kingdom
conj<nsubj<cop> ...	1.0	0.33	adaptation_comment	Animal__kingdom
acl:relcl>cop> ...	1.0	0.69	adaptation_comment	Animal__kingdom
conj<nsubj<nmod> ...	1.0	0.217	adaptation_comment	Animal__kingdom
conj<nsubj< ...	1.0	0.346	adaptation_comment	Animal__kingdom
conj<nsubj<amod> ...	1.0	0.255	adaptation_comment	Animal__kingdom
acl:relcl>obl>amod> ...	1.0	0.34	adaptation_comment	Animal__kingdom
conj<nsubj<det> ...	1.0	0.373	adaptation_comment	Animal__kingdom
conj<det> ...	1.0	0.586	adaptation_comment	Animal__kingdom
nmod<obl<aux:pass> ...	1.0	0.262	adaptation_comment	Animal__kingdom
nsubj<xcomp>mark> ...	1.0	0.374	adaptation_comment	Animal__kingdom
nsubj<xcomp> ...	1.0	0.227	adaptation_comment	Animal__kingdom
nsubj<xcomp>obj> ...	1.0	0.36	adaptation_comment	Animal__kingdom
nsubj<xcomp>advcl> ...	1.0	0.335	adaptation_comment	Animal__kingdom
nmod<amod> ...	1.0	0.678	adaptation_comment	Animal__kingdom
nmod<obl<mark> ...	1.0	0.281	adaptation_comment	Animal__kingdom
nsubj<conj>conj> ...	1.0	0.372	adaptation_comment	Animal__kingdom
obl<parataxis>obl> ...	1.0	0.61	adaptation_comment	Animal__kingdom
conj<obl< ...	1.0	0.432	adaptation_comment	Animal__kingdom
nmod>nmod>case> ...	1.0	0.635	adaptation_comment	Animal__kingdom
nmod>compound> ...	1.0	0.366	adaptation_comment	Animal__kingdom
nmod<compound> ...	1.0	0.209	adaptation_comment	Animal__kingdom
compound<obj<nsubj> ...	1.0	0.485	adaptation_comment	Animal__kingdom
conj<nmod>compound> ...	1.0	0.306	adaptation_comment	Animal__kingdom
obl<acl:relcl<obl< ...	1.0	0.303	adaptation_comment	Animal__kingdom
nmod<obl<xcomp< ...	1.0	0.504	adaptation_comment	Animal__kingdom
obl<parataxis> ...	1.0	0.297	adaptation_comment	Animal__kingdom
obl<parataxis>advmod> ...	1.0	0.36	adaptation_comment	Animal__kingdom
obl<parataxis>aux:pass> ...	1.0	0.558	adaptation_comment	Animal__kingdom
obl<cop> ...	1.0	0.592	adaptation_comment	Animal__kingdom
conj<nmod>amod> ...	1.0	0.393	adaptation_comment	Animal__kingdom
obl<obj>amod> ...	1.0	0.613	adaptation_comment	Animal__kingdom
nmod<obl<obl> ...	1.0	0.494	adaptation_comment	Animal__kingdom
nmod<case>fixed> ...	1.0	0.425	adaptation_comment	Animal__kingdom
compound<nmod<amod> ...	1.0	0.374	adaptation_comment	Animal__kingdom
nsubj<advcl>nsubj> ...	1.0	0.292	adaptation_comment	Animal__kingdom
obj<nmod> ...	1.0	0.313	adaptation_comment	Animal__kingdom
acl:relcl>obj>det> ...	1.0	0.189	adaptation_comment	Animal__kingdom
nsubj<cop> ...	1.0	0.665	adaptation_comment	Animal__kingdom
acl:relcl>obj>nmod> ...	1.0	0.507	adaptation_comment	Animal__kingdom
nsubj<obj>det> ...	1.0	0.419	adaptation_comment	Animal__kingdom
nsubj<advcl>aux> ...	1.0	0.337	adaptation_comment	Animal__kingdom
nmod<obl<aux> ...	1.0	0.394	adaptation_comment	Animal__kingdom
nsubj<advcl>conj> ...	1.0	0.237	adaptation_comment	Animal__kingdom
nsubj<conj>obj> ...	1.0	0.171	adaptation_comment	Animal__kingdom
obj<nmod>case> ...	1.0	0.512	adaptation_comment	Animal__kingdom
nmod>nmod:poss> ...	1.0	0.398	adaptation_comment	Animal__kingdom
obj<nsubj>compound> ...	1.0	0.41	adaptation_comment	Animal__kingdom
nmod<cop> ...	1.0	0.287	adaptation_comment	Animal__kingdom
compound<nmod<nmod> ...	1.0	0.399	adaptation_comment	Animal__kingdom
nmod<obl<nsubj> ...	1.0	0.329	adaptation_comment	Animal__kingdom
compound<amod>obl:npmod> ...	1.0	0.23	adaptation_comment	Animal__kingdom
compound<amod> ...	1.0	0.382	adaptation_comment	Animal__kingdom
nsubj<advcl>obl> ...	1.0	0.532	adaptation_comment	Animal__kingdom
compound<nmod<appos> ...	1.0	0.163	adaptation_comment	Animal__kingdom
compound<conj<obl< ...	1.0	0.259	adaptation_comment	Animal__kingdom
compound<conj<case> ...	1.0	0.424	adaptation_comment	Animal__kingdom
nsubj<nsubj> ...	1.0	0.274	adaptation_comment	Animal__kingdom
compound<conj<nmod> ...	1.0	0.216	adaptation_comment	Animal__kingdom
compound<conj<appos> ...	1.0	0.423	adaptation_comment	Animal__kingdom
nsubj<obl>compound> ...	1.0	0.201	adaptation_comment	Animal__kingdom
nmod<nsubj>compound> ...	1.0	0.73	adaptation_comment	Animal__kingdom
nmod<nsubj> ...	1.0	0.352	adaptation_comment	Animal__kingdom
nsubj<acl< evidence	1.0	0.377	adaptation_comment	Animal__kingdom
obl<cop> be	1.0	0.592	adaptation_comment	Animal__kingdom
nmod<cop> be	1.0	0.424	adaptation_comment	Animal__kingdom
obj<nsubj> starfish	1.0	0.355	adaptation_comment	Animal__kingdom
obj<aux> do	1.0	0.345	adaptation_comment	Animal__kingdom
nmod>nmod:poss> its	1.0	0.411	adaptation_comment	Animal__kingdom
nsubj> they	1.0	0.474	adaptation_comment	Animal__kingdom
acl:relcl>obj>det> the	1.0	0.188	adaptation_comment	Animal__kingdom
acl:relcl>obl>case> on	1.0	0.722	adaptation_comment	Animal__kingdom
acl:relcl>obl>case> to	1.0	0.578	adaptation_comment	Animal__kingdom
acl:relcl>obl>det> the	1.0	0.441	adaptation_comment	Animal__kingdom
nsubj<obj>det> the	1.0	0.404	adaptation_comment	Animal__kingdom
obl<cc> and	1.0	0.463	adaptation_comment	Animal__kingdom
obl<mark> to	1.0	0.619	adaptation_comment	Animal__kingdom
